name,address,type,unit
CODEMAN'S FRIES,RR 1 GORES LANDING ON K0K 2E0,,hamilton
CODRINGTON COMMUNITY CENTRE,2992 CTY RD 30 BRIGHTON ON K0K 1H0,,hamilton
"COFFEE HOUSE, THE",114 PURDY RD COLBORNE ON K0K 1S0,,hamilton
COFFEE TIME,566 FRANK HILL RD PETERBOROUGH ON K9J 6X3,,hamilton
COFFEE TIME,2933 HWY 35 S LINDSAY ON K9V 4R4,,hamilton
COLBORNE CURLING CLUB,8 DURHAM ST N COLBORNE ON K0K 1S0,,hamilton
COLD SPRINGS MEMORIAL HALL,3844 BURNHAM ST N COBOURG ON K9A 4W5,,hamilton
COLUMBUS COMMUNITY CENTER,232 SPENCER ST E COBOURG ON K9A 3R3,,hamilton
COMFORT INN - COBOURG,121 DENSMORE RD COBOURG ON K9A 4J9,,hamilton
COMFORT INN - PORT HOPE,464 HWY 401 & 28 EXIT PORT HOPE ON L1A 3V9,,hamilton
COMMUNITY CARE VILLAGE HOUSING KAWARTHA LAKES INC.,65 MELBOURNE ST W LINDSAY ON K9V 0G4,,hamilton
COMMUNITY HEALTH CENTRE OF NORTHUMBERLAND,99 TORONTO RD PORT HOPE ON L1A 3S4,,hamilton
COMMUNITY LIVING TRENT HIGHLANDS,205 MCLAUGHLIN RD LINDSAY ON K9V 0K7,,hamilton
COMMUNITY WORKS,7147 LAKE ST BEWDLEY ON K0L 1E0,,hamilton
COMPASS CARE HOME CARE,17 ORDE ST MINDEN ON K0M 2K0,,hamilton
COMPASS CARE HOME CARE - ANGELA SHEPPARD,11 HAWK ST BOSOLVER ON K0M 2T0,,hamilton
COMPASS CARE HOME CARE - ASHLEY PRENTICE,123 COTTINGHAM RD OMEMEE ON K0L 2W0,,hamilton
COMPASS CARE HOME CARE - BETHANY HARTIN,105 LINDSAY ST S LINDSAY ON K9V 2M5,,hamilton
COMPASS CARE HOME CARE - ELAINE WHITE,6 HOMESTEAD RD PONTYPOOL ON L0A LK0,,hamilton
COMPASS CARE HOME CARE - HAILEY SMITH,649 TELCOM RD PONTYPOOL ON L0A 1K0,,hamilton
COMPASS CARE HOME CARE - JACQUI SHADDOCK,85 BALL POINT RD LITTLE BRITAIN ON K0M 2C0,,hamilton
COMPASS CARE HOME CARE - KELSEY QUIRION - KELSEY QUIRION,7 BEVERLY ST LINDSAY ON K9V 4Y8,,hamilton
COMPASS CARE HOME CARE - KIM BLACKBURN,42 MARYKNOLL AVE LINDSAY ON K9V 1A8,,hamilton
COMPASS CARE HOME CARE - LOUISE CRAIG,146 KING ST LINDSAY ON K9V 1E5,,hamilton
COMPASS CARE HOME CARE - NICOLE THOMAS,26 LOGAN LANE LINDSAY ON K9V 0L3,,hamilton
COMPASS CARE HOME CARE - ROSEMARY MIDDLETON,47 RIVERVIEW RD LINDSAY ON K9V 1B2,,hamilton
COMPASS CARE HOME CARE - SAMANTHA MACARTHUR,103 LINDSAY ST S LINDSAY ON K9V 2M5,,hamilton
COMPASS CARE HOME CARE - SHELLEY GRAINGER,66 COOK ST LINDSAY ON K9V 0A7,,hamilton
COMPASS CARE HOME CARE- ESTHER COPELAND - ESTHER COPELAND,72 COLBORNE ST W LINDSAY ON K9V 3S9,,hamilton
COMPASS CARE HOME CARE-LAUREN BELL,1513 HEIGHTS RD LINDSAY ON K9V 4R3,,hamilton
COMPASS EARLY LEARNING & CARE,133 ADELAIDE ST N LINDSAY ON K9V 3M4,,hamilton
COMPASS EARLY LEARNING & CARE,24 WELDON RD LINDSAY ON K9V 4R6,,hamilton
COMPASS EARLY LEARNING & CARE - LINDSAY,320 MARY ST W LINDSAY ON K9V 5X5,,hamilton
