name,address,type,unit
Mache-Kino Lodge,"Raney Township, Denyes Lake ON",restaurant,sudbury
Mange Restaurant,1635 Main St Val Caron ON P3N 1R8,restaurant,sudbury
Manitoulin Espresso Bar,2218 Hwy 551 Mindemoya ON P0P 1S0,restaurant,sudbury
Manitoulin Golf,25 Golf Course Rd Gore Bay ON P0P 1H0,restaurant,sudbury
Manitoulin Hotel,66 Meredith St Little Current ON P0P 1K0,restaurant,sudbury
Man-Wah House,24 Amanda St Coniston ON P0M 1M0,restaurant,sudbury
Mary Brown's Famous Chicken & Taters,13C-2040 Algonquin Rd Sudbury ON P3E 4Z6,restaurant,sudbury
McDonald's,2416 Long Lake Rd Sudbury ON P3C 4P4,restaurant,sudbury
McDonald's,711 Centre St Espanola ON P5E 1G2,restaurant,sudbury
McDonald's,3575 Hwy 144 Chelmsford ON P0M 1L0,restaurant,sudbury
McDonald's,914 Newgate Ave Sudbury ON P3A 5J9,restaurant,sudbury
McDonald's,5118 Hwy 69 N Hanmer ON P3P 0C8,restaurant,sudbury
McDonald's,1349 Lasalle Blvd Sudbury ON P3A 1Z2,restaurant,sudbury
McDonald's,1194 Kingsway Blvd Sudbury ON P3B 2E8,restaurant,sudbury
McDonald's,1740 Regent St S Sudbury ON P3E 3Z8,restaurant,sudbury
McDougall Energy Inc. (Jeremy's),220 Highway 17 Nairn Centre ON P0M 2L0,restaurant,sudbury
McKay's Cafe,2009 Long Lake Rd Sudbury ON P3E 6C3,restaurant,sudbury
McKay's Cafe,65 Larch St Sudbury ON P3E 1B8,restaurant,sudbury
Meadow Springs Golf Club,5839 Hwy 64 Monetville ON P0M 2K0,restaurant,sudbury
Meals of Hope,9 Elm St Chapleau ON P0M 1K0,restaurant,sudbury
Meldrum Bay Inn,25959 Hwy 540 Meldrum Bay ON P0P 1R0,restaurant,sudbury
Microtel Inn & Suites By Wyndham,1312 Kingsway Blvd Sudbury ON P3B 2E5,restaurant,sudbury
Milestones,1299 Marcus Dr Sudbury ON P3B 4K6,restaurant,sudbury
Mill Lake Lodge,J.D.-J.D. 340 Collins Inlet N Shore Philip Killarney ON P0M 2A0,restaurant,sudbury
Mindemoya Grill & Chill,2080 Hwy 551 Mindemoya ON P0P 1S0,restaurant,sudbury
Monetville Tavern & Lodge,53 Shanty Bay Rd Monetville ON P0M 2K0,restaurant,sudbury
Montana's BBQ and Bar,1300 Marcus Dr Sudbury ON P3B 4K5,restaurant,sudbury
Monte Vista Golf Club - The Summit Pub and Patio,2516 Hwy 69 N Val Caron ON P3N 1K6,restaurant,sudbury
Moose Horn Lodge,Chapise Township McLennan Lake Chapleau ON P0M 1K0,restaurant,sudbury
Mr. J's Roadhouse,4-140 Regional Rd 24 Lively ON P3Y 1J2,restaurant,sudbury
