name,address,type,unit
BEERBAUL CARIBBEAN GROCERIES,"#8B-450 WESTHEIGHTS DR,  KITCHENER ON N2N 2B9",,waterloo
BEERTOWN PUBLC HOUSE,"#75 King St S,  WATERLOO ON N2J 1P2",,waterloo
BEERTOWN PUBLIC HOUSE,"#1A-561 Hespeler RD,  CAMBRIDGE ON N1R 6J4",,waterloo
BELISA PIZZA AND SUBS,"#5-76 Woolwich St N,  Breslau ON N0B 1M0",,waterloo
BELLISSIMA CAKES & PASTRIES,"#105 Oak Park Dr,  Waterloo Ontario N2K 0B3",,waterloo
BELMONT ENERGY STATION,"#5-200 Glasgow st,  Kitchener Ontario N2M 2M4",,waterloo
BELMONT FRESH MARKET,"#683 Belmont Ave W,  KITCHENER ON N2M 1N8",,waterloo
BEN THANH SUPERMARKET / B & T SUPERMARKET,"#470 KING ST E,  KITCHENER ON N2G 2L6",,waterloo
BENCH WARMER THE,"#2001 University Ave E,  WATERLOO ON N2K 4K4",,waterloo
BENFICA SPORTS BAR & GRILL,"#A-298 HIGHLAND RD E,  KITCHENER ON N2M 3W4",,waterloo
"BENT ELBOW, THE","#2880 King St E,  KITCHENER ON N2A 1A7",,waterloo
BENTO,"#315 Lincoln Rd,  WATERLOO ON N2J 4H7",,waterloo
BENTO SUSHI,"#450 Columbia St W,  WATERLOO ON N2T 2W1",,waterloo
BENTO SUSHI,"#640 PARKSIDE DR,  WATERLOO ON N2L 0C7",,waterloo
BENTO SUSHI,"#123 Pioneer Park,  Kitchener ON N2P 1K8",,waterloo
BENTO SUSHI,"#550 King St N,  Waterloo Ontario N2L 5W6",,waterloo
BENTO SUSHI,"#299 Doon Valley Dr,  Kitchener ON N2G 4M4",,waterloo
BENTO SUSHI,"#400 CONESTOGA BLVD,  CAMBRIDGE ON N1R 7L7",,waterloo
BENTO SUSHI,"#1011 Northumberland St,  North Dumfries ON N0B 1E0",,waterloo
BENTO SUSHI,"#875 Highland Rd W,  Kitchener ON N2N",,waterloo
BENTO SUSHI,"#750 Ottawa Street South,  Kitchener ON N2E 1B6",,waterloo
BENTO SUSHI,"#1005 Ottawa St N,  KITCHENER ON N2A 1H1",,waterloo
BENTO SUSHI,"#235 Ira Needles Blvd,  KITCHENER ON N2N 0B2",,waterloo
