name,address,unit,group
Northcrest Bowling Lanes - Restaurant,229 Great Northern Rd Sault Ste. Marie ON P6B 4Z2,algoma,treatment
Northwinds Restaurant - Restaurant,Vankoughne-2771 Highway 17 N Goulais River ON P0S 1E0,algoma,treatment
Odeno - Sault College Student's Union - Restaurant,443 Northern Ave Sault Ste. Marie ON P6B 4J3,algoma,treatment
Oh Sweet Cheese Us - Restaurant,1195 Richards Street Richards Landing ON P0R 1J0,algoma,treatment
Pier Seventeen - Restaurant,1-Causley St Blind River ON P0R 1B0,algoma,treatment
Pita Pit - Restaurant,659 Queen St E Sault Ste. Marie ON P6A 2A6,algoma,treatment
Pita Pit - Restaurant,710 Second Line Sault Ste Marie ON,algoma,treatment
Popeye's Louisiana Kitchen - Restaurant,1 Great Northern Road Sault Ste. Marie ON P6B 4Y4,algoma,treatment
Primo Pizza - Restaurant,151 Trunk Rd Sault Ste. Marie ON P6A 3S5,algoma,treatment
Q Cafe & Bakery - Restaurant,508 Queen St E Sault Ste Marie ON P6A 2A1,algoma,treatment
QDOBA - Restaurant,747 Great Northern Road Sault Ste. Marie ON P6B 5X5,algoma,treatment
Quattro Vinotecca - Restaurant,229 Great Northern Road Sault Ste. Marie ON P6B 4Z2,algoma,treatment
Red Top Motor Inn - Restaurant,22133 Highway 17 Iron Bridge ON P0R 1H0,algoma,treatment
Reggie's West Inc. - Restaurant,306 Korah Road Sault Ste. Marie ON P6C 4H1,algoma,treatment
Roosters Diner - Restaurant,147 Front St Spanish ON P0P 2A0,algoma,treatment
Roxy's Fry Shack - Restaurant,20 Trout Lake Rd. Sault Ste. Marie ON P6A 5K7,algoma,treatment
Royal Canadian Legion #374 SDWS#726626161 - Restaurant,1534 10th Side Rd Richard's Landing ON P0R 1J0,algoma,treatment
Rustie's JFB Cafe - Restaurant,181 Causley Street Blind River ON P0R 1B0,algoma,treatment
Sandro's Restaurant - Restaurant,465 Trunk Road Sault Ste. Marie ON P6A 3T1,algoma,treatment
Sault College Culinary - Restaurant,443 Northern Ave E Sault Ste. Marie ON P6B 4J3,algoma,treatment
Scott Coffee Company - Restaurant,9-248 Northern Ave E Sault Ste Marie ON P6B 4H6,algoma,treatment
Searchmont Resort Cafeteria - Restaurant,103 Searchmont Resort Rd Searchmont ON P0S 1J0,algoma,treatment
Senior Citizens's Drop In Centre - Restaurant,619 Bay Street Sault Ste. Marie ON P6A 5X5,algoma,treatment
Service Grill Pizza - Restaurant,319 Korah Rd Sault Ste. Marie ON P6C 4H2,algoma,treatment
Shabby Motley - Restaurant,356 Queen St E Sault Ste. Marie ON P6A 1Z1,algoma,treatment
Shogun Sushi - Restaurant,308 Great Northern Road Sault Ste Marie ON,algoma,treatment
Sinton Tavern & Restaurant - Restaurant,176-Main St Thessalon ON P0R 1L0,algoma,treatment
Soo Blaster - Restaurant,345 Queen St Sault Ste Marie ON P6A 1Z2,algoma,treatment
Soo Curlers Association - The House Restaurant - Restaurant,124 Anita Blvd Sault Ste. Marie ON P6B 4P9,algoma,treatment
Sportscentre Bar & Grill - Restaurant,2B-624 Wellington Street W Sault Ste. Marie ON P6C 3T9,algoma,treatment
Sportsman Revived - Restaurant,9142-Highway 17 E Bruce Mines ON P0R 1C0,algoma,treatment
Stackburger - Restaurant,71 Spring St Sault Ste. Marie ON P6A 2Z9,algoma,treatment
Starbucks Coffee - Restaurant,168 Great Northern Road Sault Ste Marie ON P6B 4Z3,algoma,treatment
Stokely Creek Lodge - Restaurant,194 Pickard Rd Goulais River ON P0S 1E0,algoma,treatment
Stone Ridge Golf Course - Restaurant,Nordic Min-71 Nordic Townsite Elliot Lake ON P5A 2S9,algoma,treatment
Subway - Restaurant,293 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
Subway - Restaurant,27 Mission Road Wawa ON P0S 1K0,algoma,treatment
Subway - Restaurant,443 Northern Ave Sault Ste Marie ON P6A 5L3,algoma,treatment
Subway - Restaurant,44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,algoma,treatment
Subway - Restaurant,216 Second Line W Sault Ste. Marie ON P6C 2J3,algoma,treatment
Subway - Restaurant,Hillside P-275 Hillside Dr South Elliot Lake ON P5A 1N7,algoma,treatment
Subway - Restaurant,25 Drive In Rd Sault Ste. Marie ON P6B 5X5,algoma,treatment
Subway - Restaurant,421 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
Subway - Restaurant,150 Churchill Blvd. Sault Ste. Marie ON P6A 3Z9,algoma,treatment
Subway - Restaurant,153 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,algoma,treatment
Subway 69748 - Restaurant,210 Hwy 17 W White River ON P0M 3G0,algoma,treatment
Subway Blind River - Restaurant,225 Causley St Blind River ON P0R 1B0,algoma,treatment
Sun Kwong Restaurant - Restaurant,368 Queen St E Sault Ste. Marie ON P6A 1Z1,algoma,treatment
Sunset Beach Family Restaurant - Restaurant,47 Frances St Thessalon ON P0R 1L0,algoma,treatment
Swiss Chalet - Restaurant,290 Hillside Drive South Elliot Lake ON P5A1N8,algoma,treatment
Tandoori Gardan - Restaurant,663 Queen St E Sault Ste. Marie ON P6A 2A6,algoma,treatment
Tazzi's Cafe & Bakery - Restaurant,478 Queen Street E Sault Ste. Marie ON P6A 1Z8,algoma,treatment
The Bavarian Inn - Restaurant,9181 Highway 17 E Bruce Mines ON P0R1C0,algoma,treatment
The Big Bear Properties - Restaurant,2 Front Street Hawk Junction ON P0S 1G0,algoma,treatment
The Black Bear Cafe and Eatery SDWS# 726626162 - Restaurant,2389 D Line Richards Landing ON P0R,algoma,treatment
The Black Bear on the Dock - Restaurant,1140 Richards Street Richards Landing ON,algoma,treatment
The Breakfast Pig Badass Eatery - Restaurant,265 Bruce Street Sault Ste Marie ON P6B 1P5,algoma,treatment
The Cultured Club - Restaurant,167 McClelland Road Desbarats ON P0R1E0,algoma,treatment
The Harp - Restaurant,701 Pine Street Sault Ste. Marie ON P6A 2X4,algoma,treatment
The Outpost Lodge - Restaurant,8572 Hwy 129 Gould Township ON,algoma,treatment
The Pit Stop Cafe (Laird Raceway) - Restaurant,Laird Fair Grounds Echo Bay ON P0S 1C0,algoma,treatment
The Roadhouse Bar & Grill - Restaurant,743 Trunk Rd Sault Ste. Marie ON P6A 3T3,algoma,treatment
The Soup Witch - Restaurant,215 Fourth Line East Sault Ste. Marie ON P6A 5K8,algoma,treatment
The Stockhouse Grill - Restaurant,192 Wellington Street W Sault Ste. Marie ON P6A 1H4,algoma,treatment
The Taj Indian Cuisine Ltd. - Restaurant,Marie-420 Great Northern Road Sault Ste Marie ON P6B 4Z7,algoma,treatment
The Whisky Barrel - Restaurant,113 Gore St Sault Ste. Marie ON P6A 1L9,algoma,treatment
Three Aces Restaurant - Restaurant,22162 Highway 17 Iron Bridge ON P0R 1H0,algoma,treatment
Tilt'n Hilton - Restaurant,Box 96 Hilton Beach ON P0R 1G0,algoma,treatment
Tim Hortons #1925 - Restaurant,335 John St Sault Ste. Marie ON P6A 3J6,algoma,treatment
Tim Hortons 5769 - Restaurant,699 Trunk Rd Sault Ste Marie ON P6A 3T1,algoma,treatment
Tim Hortons - Restaurant,628 Third Line Sault Ste. Marie ON P6A 6S8,algoma,treatment
Tim Hortons - Restaurant,443 Northern Ave E Sault Ste. Marie ON P6A 5L3,algoma,treatment
Tim Hortons - Restaurant,542 Bay St Sault Ste. Marie ON P6A 1X5,algoma,treatment
Tim Hortons - Restaurant,410 McNabb St Sault Ste. Marie ON P6B 1Z2,algoma,treatment
Tim Hortons - Restaurant,223 Second Line W Sault Ste. Marie ON P6C 2J3,algoma,treatment
Tim Hortons - Restaurant,191 Trunk Rd Sault Ste. Marie ON P6A 3S5,algoma,treatment
Tim Hortons - Restaurant,Hwy 101-92 Mission Rd Wawa ON P0S 1K0,algoma,treatment
Tim Hortons - Restaurant,293 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
Tim Hortons - Restaurant,389 Great Northern Rd Sault Ste. Marie ON P6B 4Z8,algoma,treatment
Tim Hortons - Restaurant,Highway 108 N Elliot Lake ON P5A 2T2,algoma,treatment
Tim Hortons (Blind River) - Restaurant,43-Causley Blind River ON P0R 1B0,algoma,treatment
Uncle Gino's Cafe - Restaurant,56 Second Line W Sault Ste. Marie ON P6C 2K3,algoma,treatment
Upper Deck Lounge - Restaurant,410 Pim Street Sault Ste. Marie ON P6A 2V1,algoma,treatment
Viking Restaurant - Restaurant,35 Mission Road Wawa ON P0S 1K0,algoma,treatment
Voyageur's Lodge and Cookhouse - Restaurant,11054 Highway 17 N Batchawana ON P0S 1A0,algoma,treatment
Wacky Wings - Restaurant,350 Lake Street Sault Ste. Marie ON P6B 3L1,algoma,treatment
Wacky Wings - Restaurant,688 Great Northern Road Sault Ste. Marie ON P6B 5A2,algoma,treatment
Wawa Motor Inn - Wawa Goose Bar & Grill - Restaurant,118 Mission Rd Wawa ON P0S 1K0,algoma,treatment
Wendy's - Restaurant,1 Queen St W Sault Ste. Marie ON P6A 1A1,algoma,treatment
Wendy's - Restaurant,389 Great Northern Rd Sault Ste. Marie ON P6B 4Z8,algoma,treatment
West Side Cafe - Restaurant,260 Queen Street W Sault Ste. Marie ON P6A 1A4,algoma,treatment
White River Bar & Grill - Restaurant,200 Highway 17 White River ON P0M 3G0,algoma,treatment
Woking Chopstix - Restaurant,293 Bay Street Sault Ste. Marie ON P6A 1X3,algoma,treatment
A Touch of Home - Food Take Out,10-Woodward Ave Blind River ON P0R 1B0,algoma,treatment
AJ's Pizza - Food Take Out,64 Broadway Ave Wawa ON P0S 1K0,algoma,treatment
Aurora's Hillside - Food Take Out,760 Second Line Sault Ste. Marie ON P6B 4K4,algoma,treatment
Bangin Burger N Chicken Shack - Food Take Out,92 Broadway Avenue Wawa P0S 1K0,algoma,treatment
Beaver Tails - Food Take Out,65 Foster Dr. Sault Ste Marie ON P6A 5N1,algoma,treatment
Bellevue Park Concession - Food Take Out,Community-269 Queen St E Sault Ste. Marie ON P6A 1Y9,algoma,treatment
