name,address,type,unit
Burger King,M-551 Holland Street W Bradford ON L3Z 0C1,,simcoe
Burger King,9226 County Road 93 Midland ON L4R 4K4,,simcoe
Burger King,320 Bayfield St Barrie ON L4M 3C1,,simcoe
Burger Pit Restaurant,5 Booth St Hawkestone ON L0L 1T0,,simcoe
"Burger Shop, The",309 Eccelstone Dr Bracebridge ON P1L 1G4,,simcoe
"Burger's Priest, The",1-120 Concert Way Barrie ON L4N 0M7,,simcoe
Burrito Boyz,8873 Highway 11 N Severn ON L3V 6H8,,simcoe
"Butcher's Daughters, The",260 Muskoka Road South Gravenhurst ON P1P 1J2,,simcoe
Butter Chicken Roti,975 West Ridge Blvd Orillia ON L3V 8A3,,simcoe
C W Coops,6-2 Massey Street Angus ON L0M 1B0,,simcoe
C.W. Coop's,808 Innisfil Beach Road Alcona ON L9S 2C3,,simcoe
Cafe Beans,B-21 Essa Rd Barrie ON L4N 3K4,,simcoe
Cafe Coco,7306 Highway 26 Stayner ON L0M 1S0,,simcoe
Cafe Kittyhawk,4 Robert St W Penetanguishene ON,,simcoe
Cafe Seoulista,2A-575 West St S Orillia ON L3V 7N6,,simcoe
California Sandwiches Barrie,108A-75 Barrie View Drive Barrie ON L4N 8V4,,simcoe
Campbell's British Foods & Tea Room,18-274 Burton Ave Barrie ON L4N 5W4,,simcoe
Canadian Maple Pub,3282 Ogden's Beach Rd Midland ON L4R 4K3,,simcoe
Canadiana Country Club & Golf Course,6469 9th Line New Tecumseth ON L0G 1A0,,simcoe
Canton Restaurant,4-1179 Bayfield St N Midhurst ON L0L 1X1,,simcoe
Captain George's Fish & Chips,6-237 Mapleview Dr E Barrie ON L4N 0W5,,simcoe
Captain Ken's,70 Main Street Penetanguishene ON L9M 1T4,,simcoe
Captain Robert's Table,93 Jury Drive Penetanguishene ON L9M 1G1,,simcoe
Captains Grill Diner,1287 Madison St Severn ON L3V 0V1,,simcoe
Carey's Pub,469 Bethune Dr N Gravenhurst ON P1P 1B8,,simcoe
Carnegie Cafe,526 Hugel Ave Midland ON L4R 1V7,,simcoe
Casa Cappuccino,91 Dunlop St E Barrie ON L4M 1A6,,simcoe
Casa Mia Restaurant,88 Dunlop St W Barrie ON L4N 1A6,,simcoe
Casano's Italian Foods,49 Anne St S Barrie ON L4N 4Y8,,simcoe
Cast Iron Restaurant,2635 Muskoka Rd 117 Baysville ON P0B 1A0,,simcoe
Castle Blue,3047 Highway 169 Bala ON P0C 1A0,,simcoe
Catch 22 Fresh Market Grill,962 Mosley St Wasaga Beach ON L9Z 2G8,,simcoe
Cedar Grove Lodge,167 Grassmere Resort Rd Huntsville ON P1H 2K5,,simcoe
Cedar Kitchen,5 Queen St S Tottenham ON L0G 1W0,,simcoe
Cellarman's Ale House,337 King Street Midland ON L4R 3M7,,simcoe
Chafresh,2-3-130 Bell Farm Road Barrie ON L4M 6J4,,simcoe
Champ Burger,4-70 Victoria St E Alliston ON L9R 1R2,,simcoe
Chaopaya Thai Restaurant,168 Dunlop St E Barrie ON L4M 1B3,,simcoe
Charlie's Diner,7423 Highway 26 Stayner L0M 1S0,,simcoe
Cheesy Pickup The,42 Mississaga St W Orillia ON L3V 3A8,,simcoe
Chef Henrie's Cafe and Bistro,339 High St MacTier ON P0C 1H0,,simcoe
Cherville Japanese Restaurant,3-60 Main Street West Beeton ON L0G 1A0,,simcoe
Chez Michel,150 Mill St. Creemore ON L0M 1G0,,simcoe
Chilli Pistols 77,77 Victoria St E Alliston ON L9R 1L5,,simcoe
Chillz Dessert Lounge,89 Dunlop St E Barrie ON L4M 1A7,,simcoe
China Garden,382 Holland Street W Bradford ON L3Z 2B6,,simcoe
China Garden Chinese Cuisine,A-33 Young St Alliston ON L9R 1B5,,simcoe
China House Restaurant,B-96 Main St E Huntsville ON P1H 1H1,,simcoe
China House Restaurant,390 Muskoka Road N Gravenhurst ON P1P 1G3,,simcoe
China Inn Restaurant,13A-8056 Yonge St Stroud ON L9S 1L6,,simcoe
China Wok,4-86 Young Street Alliston ON L9R 1P8,,simcoe
"Chipper at Sunset, The",35 St Lawrence Street Collingwood ON L9Y 0W7,,simcoe
"Chopped Leaf, The",547 Cundles Rd E Barrie ON L4M 0G9,,simcoe
"Chopsticks, The",4-7380 Highway 26 Stayner ON L0M 1S0,,simcoe
Chuck's Roadhouse,5-707 River Road W Wasaga Beach ON L9Z 1N7,,simcoe
Chuck's Roadhouse,68 King William St Huntsville ON P1H 1G3,,simcoe
Chuck's Roadhouse Bar and Grill,125 Highway 118 W Bracebridge ON P1L 1T2,,simcoe
Chuck's Roadhouse Bar and Grill,11-450 Holland St W Bradford ON L3Z 0G1,,simcoe
Chuck's Roadhouse Bar and Grill,2-173 Mill Street Angus ON L0M 1B2,,simcoe
Cicco's Ristorante,1-170 Prince William Way Barrie ON L9J 0G7,,simcoe
Cicco's Ristorante,1630 George Johnston Rd Minesing ON L0L 1Y0,,simcoe
Clear Lake Brewing Comapny,4651 Southwood Rd Torrance ON P0C 1M0,,simcoe
Clevelands House,1040 Juddhaven Rd Minett ON P0B 1G0,,simcoe
Cocina Mexicana,D-144 Burton Ave Barrie ON L4N 2R8,,simcoe
Coffee Culture Café & Eatery,1-36 Young St Alliston ON L9R 1P8,,simcoe
Coffee Culture Café & Eatery,501-494 Big Bay Point Rd Barrie ON L4N 3Z4,,simcoe
Coffee Culture Café & Eatery,7268 Highway 26 Stayner ON L0M 1S0,,simcoe
Coffee Time,8483 Highway 11 N Orillia ON L3V 6H3,,simcoe
Coffee Time Eggsmart,1040 Innisfil Beach Rd Alcona ON L9S 2M5,,simcoe
Colborne Chinese Buffet,72 Colborne Street W Orillia ON L3V 2Y7,,simcoe
Coldwater Grill House,12738 County rd 16 Fesserton ON L0K 2C0,,simcoe
Coldwater Ice Cream,32 Coldwater Rd Coldwater ON L0K 1E0,,simcoe
Collette's Kitchen,104-121 Wellington Street W Barrie ON L4N 1L2,,simcoe
Com Pho Asia 2,11-221 Cundles Rd E Barrie ON L4M 6L5,,simcoe
Com Pho Asia 3,D2-31 Commerce Park Dr Barrie ON L4N 8X1,,simcoe
Comfort Inn,86 King William St. Huntsville ON P1H 1E4,,simcoe
Common Good Cafe & Social House,500-85 Bayfield St Barrie ON L4M 3A7,,simcoe
Continental Specialties,126 Dunlop Street W Barrie ON L4N 1B1,,simcoe
"Cookhouse Restaurant, The",2881 Highway 60 Dwight ON P0A 1H0,,simcoe
Cook's Bay Fish & Chips,3-136 Holland Street E Bradford ON L3Z 2P7,,simcoe
"Cookstown Pub Co., The",52 Queen St W Cookstown ON L0L 1L0,,simcoe
"Coop Public House & Foodiary, The",1-2-265 King Street N Alliston ON L9R 1N3,,simcoe
Coop's Smokin' Wing House,81 Queen Street S Tottenham ON L0G 1W0,,simcoe
Cora,A-135 Mapleview Dr W Barrie ON L4N 9H7,,simcoe
"Corner Store, The",1001 Juddhaven Rd Minett ON P0B 1G0,,simcoe
Cosmos Ristorante,90 Mississaga Street E Orillia ON L3V 1V7,,simcoe
Costa Verde,494 Holland Street West Bradford ON L3Z 0A2,,simcoe
Cottage Bistro,81 Joseph St Port Carling ON P0B 1J0,,simcoe
Cottage Canoe,1-3-453 Dunlop St W Barrie ON L4N 1C3,,simcoe
Cottage Cravings,3181 Muskoka Rd 169 Bala ON P0C 1A0,,simcoe
Cotto 88,4240 County Rd 88 Bond Head ON L0G 1B0,,simcoe
Couchiching Craft Brewery Co.,162 Mississaga Street East Orillia ON L3V1V9,,simcoe
Couchiching Golf Club,370 Peter St N Orillia ON L3V 6R9,,simcoe
"Country Diner, The",1-2 10 Yonge St Elmvale ON L0L 1P0,,simcoe
Country Kitchen Restaurant,1A-131 Saunders Road Barrie ON L4N 9A7,,simcoe
Country Style,131 Tiffin St Barrie ON L4M 2N2,,simcoe
Country Style,140 Atherley Road Orillia ON L3V 7K8,,simcoe
Country Style,38 Coldwater Rd Coldwater ON L0K 1E0,,simcoe
"Cove Café, The",902 Lockhart Road Innisfil ON L9S 4V2,,simcoe
"Crazy Fox Bistro, The",135 Bayfield St Barrie ON L4M 3B3,,simcoe
Creemore Bakery Inc.,148 Mill St Creemore ON L0M 1G0,,simcoe
Creemore Pizza Co.,B-5 Francis St. E Creemore ON,,simcoe
Crossover's Entertainment Lounge,428 Dunlop St W Barrie ON L4N 1C2,,simcoe
Crossroads Fish & Chips,2-3-6048 Highway 9 New Tecumseth ON L0G 1T0,,simcoe
Crystal Buffet,1-2 Mountain Rd Collingwood ON L9Y 4S8,,simcoe
Curly Willow,141 Pine St Collingwood ON L9Y 2P1,,simcoe
Da Grazia,20 Victoria St E Alliston ON L9R 1T4,,simcoe
Da Vinci's Gate,224 Line 7 North Oro-Medonte ON L0L 2E0,,simcoe
Dairy Queen,5-7377 Highway 26 Stayner ON L0M 1S0,,simcoe
Dairy Queen,67 Memorial Ave Orillia ON L3V 5W9,,simcoe
Dairy Queen,103 Bradford St Barrie ON L4N 3A9,,simcoe
Dairy Queen,288 Main St W Wasaga Beach ON L9Z 2N6,,simcoe
Dairy Queen,2 King St S Alliston ON L9R 1V5,,simcoe
Dairy Queen,776 Yonge St Midland ON L4R 2E6,,simcoe
Dairy Queen,316 Hurontario St Collingwood ON L9Y 2M3,,simcoe
Dairy Queen,160 Mill Street Angus ON L0M 1B2,,simcoe
Dairy Queen,1-130 Howland Drive Huntsville ON P1H 2P9,,simcoe
Dairy Queen,371 Yonge St Barrie ON L4N 4C8,,simcoe
Danny's Fish & Chips,7-411 Huronia Rd Barrie ON L4N 9B3,,simcoe
"Dardanella Beach Bar, The",13 First St Wasaga Beach ON L9Z 2K2,,simcoe
Davidson's Country Dining,73 Big Bay Point Rd Innisfil ON L9S 2N1,,simcoe
Daybreak,1-547 Holland St W Bradford ON L3Z 0C1,,simcoe
Debb's Place,352 Huronia Rd Barrie ON L4M 4S7,,simcoe
Deerhurst Resort - Eclipse,1235 Deerhurst Dr Huntsville ON P1H 2E8,,simcoe
Deerhurst Resort - Maple Pub & Patio,1235 Deerhurst Dr Huntsville ON P1H 2E8,,simcoe
Deerhurst Resort - The Antler Steakhouse,1235 Deerhurst Drive Huntsville ON P1H 2E8,,simcoe
Delta Bingo,52 Bayfield Street N Barrie ON L4M 3A5,,simcoe
"Den, The",825 Memorial Ave Orillia ON L3V 6S2,,simcoe
Desi Licious,12B-130 Bell Farm Rd Barrie ON L4M 6J4,,simcoe
Details Cafe,46 Victoria St W Alliston ON L9R 1S6,,simcoe
Dewennes,7535 County Rd 9 Creemore ON L0M 1G0,,simcoe
Dewey Institute Residence,119 Wellington Street Bracebridge ON P1L 1E2,,simcoe
Diamond Sushi,29 Anne St S Barrie ON L4N 2C5,,simcoe
Diamond Sushi,A-516 Bryne Drive Barrie ON L4N 9P6,,simcoe
Dillon's Wood-Fired Pizza,244 King St Midland ON L4R 3M3,,simcoe
"Diner, The",52 Jones St Angus ON L0M 1B0,,simcoe
Dino's Fresh Food Deli,319 King St Midland ON L4R 3M5,,simcoe
Dock of The Bay,1110 Bay St Gravenhurst ON P1P 1Z9,,simcoe
Dockside Grill,1111 Killarney Beach Road Lefroy ON L0L 1W0,,simcoe
Domino's Pizza,1C-50 King St S Alliston ON L9R 1H6,,simcoe
Domino's Pizza,2-138 Mill St Angus ON L0M 1B2,,simcoe
Domino's Pizza,1354 Innisfil Beach Road Innisfil ON L9S 4B7,,simcoe
Domino's Pizza,101-201 Cundles Rd E Barrie ON L4M 4S5,,simcoe
Don Cherry's Sports Grill,100 Dissette Street Bradford ON L3Z 3G8,,simcoe
Don Cherry's Sports Grill,5-353 Anne Street N Barrie ON L4N 7Z9,,simcoe
Donaleigh's Irish Public House,28 Dunlop St E Barrie ON L4M 1A3,,simcoe
Dornoch Tap and Grill,4203 County Road 124 Nottawa ON L0M 1P0,,simcoe
Dosti Eats,C1-535 Bryne Dr Barrie ON L4N 9P6,,simcoe
Double Happiness Chinese Restaurant,233 King Street Midland ON L4R 3M1,,simcoe
"Dragon Restaurant, The",70 Essa Rd Barrie ON L4N 3K7,,simcoe
Drunken Oyster Bar,18 Huron Street Collingwood ON L9Y 1C4,,simcoe
Druxy's,201 Georgian Dr Barrie ON L4M 6M2,,simcoe
Duckworth's Fish & Chips,750 Atherley Road Orillia ON L3V 1P6,,simcoe
Duffer's Golf Centre,4904 County Rd 90 Barrie ON L4M 4S4,,simcoe
Duffer's Tap & Grill,476 South Mary Lake Rd Port Sydney ON P0B 1L0,,simcoe
Duncan's Cafe,60 Hurontario St Collingwood ON L9Y 2L7,,simcoe
Dunlop Billiards Sports Bar and Eatery,A-445 Dunlop St W Barrie ON L4N 1C3,,simcoe
Dunlop Street Diner,20 Dunlop St E Barrie ON L4M 1A3,,simcoe
Duntroon Highlands Golf Club,1226 Concession Road 10 S Duntroon ON L0M 1H0,,simcoe
East Side Mario's,138 Young St Alliston ON L9R 1P8,,simcoe
East Side Mario's,10-111 Howland Dr Huntsville ON P1H 2P4,,simcoe
East Side Mario's,315 Memorial Avenue Orillia ON L3V 5Y1,,simcoe
East Side Mario's,502 Bayfield St Barrie ON L4M 5A2,,simcoe
East Side Mario's,451 Bryne Dr Barrie ON L4N 6C8,,simcoe
Eclectic Cafe,39 Mississaga Street West - Unit B Orillia ON L3V3A5,,simcoe
Econo Lodge,117 Main St W Huntsville ON P1H 1W8,,simcoe
Eddies 241 Pizza,208 Victoria St E Alliston ON L9R 1B6,,simcoe
Eggcellent,17 Holland Street West Bradford ON L3Z 2B8,,simcoe
Eggsmart,9-155 First St Collingwood ON L9Y 1A5,,simcoe
El Pueblito,155 Manitoba Street Bracebridge ON P1L 2B7,,simcoe
EL Toro Smokehouse,2921-2921 Hwy 11 N Oro-Medonte ON L0L 2X0,,simcoe
Electric Juicery And Cafe,19 Queen Street S Tottenham ON L0G 1W0,,simcoe
Elmvale Sales Barn and Flea Market,1568 Highway 92 Elmvale ON L0L 1P0,,simcoe
