Facility Name,Site Address,Facility Type,Last Inspection Date
Dunk Burgers & Chocolate,2156 Wyandotte St W Windsor ON N9B 1J9,Restaurant (Full Service),06-Jan-2020
East Side Mario's,7780 Tecumseh Rd E Windsor ON N8T 1G3,Restaurant (Full Service),15-Jan-2021
Eastern Flavours,4072 Walker Rd Windsor ON N8W 3T5,Restaurant (Full Service),20-Aug-2020
Eastwood Grill 'N Lounge,63 Riverside Dr E Windsor ON N9A 2S4,Restaurant (Full Service),13-Nov-2020
Eatery 101 A Taste of Class,2000 Talbot Rd W Windsor ON N9A 6S4,Restaurant (Full Service),09-Dec-2019
Eddy's Mediterranean Bistro,420 Tecumseh Rd E Windsor ON N8X 2R6,Restaurant (Full Service),08-Sep-2020
Edna's Lunch,592 Notre Dame St Belle River ON N0R 1A0,Restaurant (Full Service),15-Sep-2020
El Comal,21 Queens Ave Leamington ON N8H 3G7,Restaurant (Full Service),01-Nov-2019
El Diablo,16 Main St. West Kingsville ON N9Y 1H1,Restaurant (Full Service),28-Aug-2020
El Guaco,13039 Tecumseh Rd E Tecumseh ON N8N 3T4,Restaurant (Full Service),02-Aug-2019
Elite Restaurant,20 Main St W Kingsville ON N9Y 1H2,Restaurant (Full Service),08-Dec-2020
El-Mayor Restaurant & Catering,6-650 Division Road Windsor ON N8X 5E7,Restaurant (Full Service),12-Jan-2021
Enzo's,1063 Erie St E Windsor ON N9A 3Z2,Restaurant (Full Service),26-Nov-2019
Erie Billiards,573 Erie St E Windsor ON N9A 3X8,Restaurant (Full Service),06-Dec-2019
Erie Shores Golf & Country Club - Restaurant,304 Robson Rd Leamington ON N8H 3V4,Restaurant (Full Service),31-Aug-2020
Eros,2270 Wyandotte St W Windsor ON N9B 1K2,Restaurant (Full Service),13-Jan-2021
Essex Golf & Country Club - Full Service,7555 Matchette Rd LaSalle ON N9J 2S4,Restaurant (Full Service),27-Aug-2020
Essex Retirees Social Club,32 Russell St Essex ON N8M 1G3,Restaurant (Full Service),24-Feb-2020
Etta's Greeklish Eatery,5975 Wyandotte Street East Windsor ON N8S 1M9,Restaurant (Full Service),03-Nov-2020
Factory House,5240 Tecumseh Rd E Windsor ON N8T 1C6,Restaurant (Full Service),29-Jan-2021
Family Kitchen,73 Erie St S Leamington ON N8H 3B2,Restaurant (Full Service),27-Nov-2019
Fattoush Express,1568 Huron Church Rd Windsor ON N9C 2L1,Restaurant (Full Service),30-Sep-2020
Feeding Windsor,2455 Rivard St Windsor ON N8T 3B3,Restaurant (Full Service),15-Nov-2019
Fenton's Restaurant,3448 Walker Rd Windsor ON N8W 3S3,Restaurant (Full Service),14-Jul-2020
Fionn MacCool's,430 Ouellette Ave Windsor ON N9A1B2,Restaurant (Full Service),17-Sep-2020
Firdous Lebanese Grill,B-4 Wellington St Leamington ON N8H 4P9,Restaurant (Full Service),06-Nov-2020
Firepit #13,3690 Seminole St Windsor ON N8Y 1Y4,Restaurant (Full Service),04-Nov-2020
Flings Chicken,561 Wyandotte St E Windsor ON N9A 3J1,Restaurant (Full Service),02-Dec-2020
Flying Tiger,1545 University Ave W Windsor ON N9B 1C1,Restaurant (Full Service),09-Jan-2020
Fong's Villa,13029 Tecumseh Rd E Tecumseh ON N8N 3T4,Restaurant (Full Service),20-Jan-2020
Fourteen Restaurant and Skylounge,1400-100 Ouellette Ave Windsor ON N9A 6T3,Restaurant (Full Service),22-Oct-2020
Fox Glen Golf Club,7525 Howard Ave Amherstburg ON N0R 1G0,Restaurant (Full Service),20-Sep-2019
Franco's Restaurant,1459 Tecumseh Road East Windsor ON N8W 1C2,Restaurant (Full Service),11-Feb-2020
Frank's Brewing Company,12000 Tecumseh Rd E Tecumseh ON N9N 1L9,Restaurant (Full Service),06-Nov-2020
Fratelli Pasta Grill,13340 Lanoue St Tecumseh ON N8N 5E1,Restaurant (Full Service),03-Nov-2020
Freddy's Park Stop,655 Point Pelee Dr Leamington ON N8H 3V4,Restaurant (Full Service),24-May-2019
Frenchy's Poutinery,361 Ouellette Ave Windsor ON N9A 4J1,Restaurant (Full Service),02-Nov-2020
Freshii,650 Divisional Rd Windsor ON N8X 5E7,Restaurant (Full Service),31-Aug-2020
Galaxy Grail Restaurant,1353 Wyandotte St E Windsor ON N9A 3K8,Restaurant (Full Service),02-Oct-2020
Garfield's,1 County Rd 50 W Colchester ON N0R 1G0,Restaurant (Full Service),30-Sep-2020
Garwon Chinese Restaurant,5709 Tecumseh Rd E Windsor ON N9B 3H7,Restaurant (Full Service),13-Jan-2021
Gaspard's Cafe,399 Erie St S Leamington ON N8H 3E6,Restaurant (Full Service),27-Dec-2019
Gatsby's Restaurant,4033 Tecumseh Rd E Windsor ON N8W 1J7,Restaurant (Full Service),02-Nov-2020
Generations Diner,1991 Ottawa St Windsor ON N8Y 1R6,Restaurant (Full Service),04-Sep-2020
Genki House,1-4045 Seminole St Windsor ON N8Y 4W4,Restaurant (Full Service),09-Oct-2020
Gilligan's,5-400 Sandwich St S Amherstburg ON N9V 3O4,Restaurant (Full Service),10-Sep-2020
Gilligan's,1270 Walker Rd Windsor ON N8X 4T4,Restaurant (Full Service),11-Sep-2020
Gingerbread House Family Restaurant,1 Talbot Rd E Leamington ON N8H 1L1,Restaurant (Full Service),18-Nov-2020
Gladstone Commons,792 Gladstone Ave Windsor ON N9A 2R2,Restaurant (Full Service),10-Sep-2020
Goccia Cafe,707 Erie St E Windsor ON N9A 3Y3,Restaurant (Full Service),21-Dec-2020
Godfather Pizza,110 King St Harrow ON N0R 1G0,Restaurant (Full Service),27-Jan-2021
Golden Gate Restaurant,473 Sandwich St S Amherstburg ON N9V 3G5,Restaurant (Full Service),16-Mar-2020
Grand Cantina,1000 Drouillard Rd Windsor ON N8Y 2P8,Restaurant (Full Service),11-Sep-2020
Greek Boy,6152 Tecumseh Rd E Windsor ON N8T 1E6,Restaurant (Full Service),02-Nov-2020
Grill 55,1855 Huron Church Rd Windsor ON N9C 2L6,Restaurant (Full Service),07-Jul-2020
Grill Twenty,20 University Ave E Windsor ON N9A 2Y4,Restaurant (Full Service),05-Oct-2020
Grounded Cafe,105 Talbot Rd W Cottam ON N0R 1B0,Restaurant (Full Service),07-Oct-2020
Grove Brew House,12 Main St E Kingsville ON N9Y 1A2,Restaurant (Full Service),06-Feb-2020
Gyros & Delights,1173 Lauzon Rd Windsor ON N8S 3M9,Restaurant (Full Service),22-Jan-2021
Gyros & More,20 Talbot St S Essex ON N8M 1B3,Restaurant (Full Service),13-Oct-2020
Gyros & More,13404 Tecumseh Rd E Tecumseh ON N8N 3N7,Restaurant (Full Service),03-Nov-2020
Hakka Khazana,157 Wyandotte St W Windsor ON N9A 5W8,Restaurant (Full Service),18-Jan-2021
Hampton Inn & Suites,1840 Huron Church Rd Windsor ON N9C 2L5,Restaurant (Full Service),06-Aug-2020
Happy Hotpot & BBQ,2085 University Ave W Windsor ON N9B 1E1,Restaurant (Full Service),02-Oct-2020
Healthy Fusions,2240 Wyandotte St W Windsor ON N9B 1K2,Restaurant (Full Service),14-Feb-2020
Healthy Mama,152 Lesperance Rd Tecumseh ON N8N 1W1,Restaurant (Full Service),25-Jan-2021
HI - HO Classic Diner,3691 Walker Rd Windsor ON N8W 3X6,Restaurant (Full Service),25-Nov-2020
HI - HO Classic Diner,2889 Howard Ave Windsor ON N8X 3Y4,Restaurant (Full Service),25-Nov-2020
Hi Ho Diner,2240 Huron Church Rd Windsor ON N9C 2L9,Restaurant (Full Service),21-Jan-2021
Higher Culture Cafe,8061 Wyandotte St E Windsor ON N8S 1T2,Restaurant (Full Service),15-Sep-2020
Hikari Restaurant,345 Victoria Ave Windsor ON N9A 4M7,Restaurant (Full Service),02-Nov-2020
Ho Wah,1073 Tecumseh Rd E Windsor ON N8W 1B3,Restaurant (Full Service),14-Jan-2021
Holy Family Retreat Centre,121 Victoria Ave Harrow ON N0R 1G0,Restaurant (Full Service),19-Feb-2020
Hooligan's Pub & Grub,1898 Shepherd St E Windsor ON N8Y 1T5,Restaurant (Full Service),04-Nov-2019
Hot Tacos Restaurant,26 Erie St S Leamington ON N8H 3A7,Restaurant (Full Service),02-Dec-2020
House of India,325 Ouellette Ave Windsor ON N9A 4J1,Restaurant (Full Service),16-Sep-2020
House of Pad Thai,903 Wyandotte St E Windsor ON N9A 3K1,Restaurant (Full Service),01-Oct-2020
House of Yan,581 Broadway St Belle River ON N0R 1A0,Restaurant (Full Service),11-Aug-2020
Howard Grill and Pancake House,2590 Howard Ave Windsor ON N8X 3W5,Restaurant (Full Service),06-Oct-2020
Hurricanes Road House,3217 Sandwich St Windsor ON N9C 1A9,Restaurant (Full Service),28-Sep-2020
Husky Truck Stop,4040 Cty Rd 46 Oldcastle ON N0R 1L0,Restaurant (Full Service),12-Nov-2020
Ian's Wrap Shack & Nachos,44 Main St E Kingsville ON N9Y 1A2,Restaurant (Full Service),04-Feb-2020
Imperial Classic Diner,6188 Malden Rd Lasalle ON N9H 1T1,Restaurant (Full Service),17-Sep-2020
India 47,1 Bldg C-1640 Lesperance Rd Tecumseh ON N8N 1Y3,Restaurant (Full Service),03-Nov-2020
