Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Bean & Pearl Coffee and Juice Bar,C1-10625 Creditview Rd Brampton ON,Restaurant,2019-06-12,
Beefing With 7 Mississauga,9-1177 Central Pky W Mississauga ON L5C 4P3,Restaurant,2020-12-18,
Belfountain Inn,792 Forks of the Credit Rd Caledon ON L7K 0E5,Restaurant,2019-09-04,
Bell Mobility Centre - Subway,C-5099 Creekbank Rd Mississauga ON L4W 5N2,Restaurant,2019-10-10,
Bell Mobility Centre - Tim Hortons,C-5099 Creekbank Rd Mississauga ON L4W 5N2,Restaurant,2019-12-06,
Bell Mobility Centre - Tim Hortons # 23078/Subway,5115 Creekbank Rd Mississauga ON L4W 5R1,Restaurant,2019-12-06,
Bell Mobility Ctre - Guacamole Grille/Yogen Fruz/Feta & Olives,A-5025 Creekbank Rd Mississauga ON L4W 0B6,Restaurant,2019-10-10,
Bella's Inasal,1-848 Burnhamthorpe Rd W Mississauga ON L5C 2S3,Restaurant,2020-03-04,
Benab Family Restaurant,17-3085 Hurontario St Mississauga ON L5A 4E4,Restaurant,2020-01-20,
Berina's Specialty Restaurant & Grill,1A-889 Pantera Dr Mississauga ON L4W 2R9,Restaurant,2020-01-27,
Berto's Cuisine,1063 Dundas St W Mississauga ON L5C 1C3,Restaurant,2020-02-18,
"Best Friend Chinese Restaurant, The",D1B-888 Dundas St E Mississauga ON L4Y 4G6,Restaurant,2020-03-12,
Betta Jerk,7-2901 Queen St E Brampton ON L6T 0C7,Restaurant,2019-09-18,
Bibab Express,319-50 Burnhamthorpe Rd W Mississauga ON L5B 3C2,Restaurant,2019-10-16,
Big Bowl,1-2655 Liruma Rd Mississauga ON L5K 1Y8,Restaurant,2019-12-05,
Big Rig,5860 Mavis Road Mississauga ON L5V 3B7,Restaurant,2020-09-14,
Bingo Country,150-190 Bovaird Dr W Brampton ON L7A 1A2,Restaurant,2020-02-12,
Biryanis and more..!,5-45 Dusk Dr Brampton ON L6Y 5J6,Restaurant,2020-10-28,
Bismillah Sweets,103-812 Britannia Rd W Mississauga ON L5V 0A6,Restaurant,2020-09-29,
Bismillah Sweets & Catering,3-7955 Torbram Rd Brampton ON L6T 4B9,Restaurant,2019-07-23,
Blackball Desserts,212-719 Central Pkwy W Mississauga ON L5B 4L1,Restaurant,2020-02-21,
Blackjack BBQ,FM02-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2019-12-06,
Blackstone Steakhouse & Grill,3A-6415 Erin Mills Pky Mississauga ON L5N 4Y4,Restaurant,2019-10-30,
Blackstone Steakhouse and Grill,31 George St N Brampton ON L6X 1R3,Restaurant,2019-10-18,
Bliss Chinese Cuisine,4-6485 Mississauga Rd Mississauga ON L5N 1A6,Restaurant,2019-11-27,
Blue Colada Restaurant and Bar,3 Stafford Dr Brampton ON L6W 1L3,Restaurant,2019-12-06,
Blue Lagoon,C3-C4-888 Dundas St E Mississauga ON L4Y 4G6,Restaurant,2019-12-19,
Blue Suede Sue's,141-75 Watline Ave Mississauga ON L4Z 3E5,Restaurant,,
BMO - Sodexo Cafeteria,2465 Argentia Rd Mississauga ON L5N 0B4,Restaurant,2019-11-05,
Bobacha Bubble Tea & Snack Bar,259 Lakeshore Rd E Mississauga Ontario L5G 1G8,Restaurant,2020-02-05,
Bobby's Hideaway,398 Lakeshore Rd E Mississauga ON L5G 1H5,Restaurant,2019-11-11,
Bobby's Hideaway,20 Queen St N Mississauga ON L5N 1A1,Restaurant,2019-12-12,
Boccone - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2019-10-04,
Boccone Pronto and Bar - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2020-02-12,
Bolton Jack's Pub & Restaurant,13-12612 Hwy 50 Caledon ON L7E 1J6,Restaurant,2019-10-15,
Bolton Pizza Panini,1-12599 Hwy 50 Caledon ON L7E 1M4,Restaurant,2019-11-26,
Bombay Bhel,B2-6415 Erin Mills Pky Mississauga ON L5N 4H4,Restaurant,2020-02-04,
Bombay To Go,A7-755 Dundas St W Mississauga ON L5C 3B6,Restaurant,2020-03-04,
Bon A Pita,1-14 Parr Blvd Bolton ON L7E 4H1,Restaurant,2019-06-20,
Booster Juice,D5-5083 Dixie Rd Mississauga ON L4W 5K1,Restaurant,2019-10-17,
Booster Juice,17-801 Matheson Blvd W Mississauga ON L5V 2N6,Restaurant,2020-01-20,
Booster Juice,4-136 Queen St S Mississauga ON L5M 1K8,Restaurant,2020-01-24,
Booster Juice,11-165 Matheson blvd E Mississauga ON,Restaurant,2019-05-22,
Booster Juice,17 Ray Lawson Blvd Brampton ON L6Y 5L8,Restaurant,2019-07-08,
Border MX Mexican Grill and Cantina,277 Queen St S Mississauga ON L5M 1L7,Restaurant,2019-11-01,
Boston Pizza,35 Square One Dr Mississauga ON L5B 0E2,Restaurant,2019-10-15,
Boston Pizza,2458 Queen St E Brampton ON L6S 5X9,Restaurant,2020-08-27,
Boston Pizza,C-6978 Financial Dr Mississauga ON L5N 8J4,Restaurant,2019-12-02,
Boston Pizza,50 Courtneypark Dr E Mississauga ON L5T 2Y3,Restaurant,2019-12-06,
Boston Pizza,1510 Aimco Blvd Mississauga ON L4W 5K1,Restaurant,2019-12-30,
Boston Pizza,65 Resolution Dr Brampton ON L6W 0A6,Restaurant,2019-10-04,
Boston Pizza,2915 Eglinton Ave W Mississauga ON L5M 6J3,Restaurant,2020-03-04,
Boulevard Restaurant & Lounge,6781 Hurontario St Mississauga ON L5T 2W1,Restaurant,2019-12-04,
Bourbon St Grill,444C-25 Peel Centre Dr Brampton ON L6T 3R5,Restaurant,2019-12-05,
Bourbon St Grill,F13-5100 Erin Mills Pky Mississauga ON L5M 4Z5,Restaurant,2020-01-14,
"Box Donut, The",FM12-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2019-12-09,
Brae Ben Golf Course,5700 Terry Fox Way Mississauga ON L5V 2W2,Restaurant,2020-02-25,
Brampton Flying Club,13691 McLaughlin Rd Caledon ON L7C 2B2,Restaurant,2019-10-24,
Brampton Golf Club - Halfway House,7700 Kennedy Rd S Brampton ON L6W 0A1,Restaurant,2019-05-21,
Brampton Golf Club - Lounge,7700 Kennedy Rd S Brampton ON L6W 0A1,Restaurant,,
Brampton Golf Club - Main Kitchen,7700 Kennedy Rd S Brampton ON L6W 0A1,Restaurant,2019-09-27,
Brar Sweets & Restaurant,199 Advance Blvd Brampton ON L6T 4N2,Restaurant,2020-11-13,
Brar's Bovaird,1-2969 Bovaird Dr E Brampton ON L6S 0C6,Restaurant,2020-02-27,
Brar's Trinity,126-140 Great Lakes Dr Brampton ON L6R 2K7,Restaurant,2020-02-11,
Brasas Rotisserie & Grill,9-2385 Burnhamthorpe Rd W Mississauga ON L5L 6A4,Restaurant,2020-08-11,
Bravo Bistro,121-2560 Matheson Blvd E Mississauga ON L4W 4Y9,Restaurant,2020-03-11,
Bread & Salt Afghan Cuisine,1492 Dundas St. E Mississauga ON,Restaurant,2019-09-23,
Break & Play Billiards and Bar,9-1 Steeles Ave E Brampton ON L6W 4J4,Restaurant,2019-12-09,
Breakfast Ing Restaurant,21-4040 Creditview Rd Mississauga ON L5C 3Y8,Restaurant,2019-07-08,
Brewsters Bar & Grill,1-400 Steeles Ave Brampton ON L6W 3R2,Restaurant,2019-10-17,
BriSkit Gourmet Slow Cooked Sandwiches,40-160 Wilkinson Rd Brampton ON L6T 4Z4,Restaurant,2020-03-11,
Bristol on Rathburn,16-1891 Rathburn Rd E Mississauga ON L4W 3Z3,Restaurant,2020-11-02,
Broast Inn,77 Dundas St W Mississauga ON L5B 1H7,Restaurant,2020-03-03,
Brothers Sweets & Restaurant,121-50 Lacoste Blvd Brampton ON L6P 3Z8,Restaurant,2019-12-02,
Brunswick Bramalea Lanes,50 Bramtree Crt Brampton ON L6S 2Z5,Restaurant,2019-12-11,
Bubble Republic Tea House,24-4040 Creditview Rd Mississauga ON L5C 3Y8,Restaurant,2020-03-04,
Bubble Tease,11-5955 Latimer Dr Mississauga ON L5V 0B7,Restaurant,2019-08-29,
Buffalo Wild Wings Grill & Bar,3015 Argentia Rd Mississauga ON L5N 8E1,Restaurant,2020-02-10,
Built Burger - Hammerhead Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2019-12-30,
Bukamaranga,6465 Millcreek Dr Mississauga ON L5N 5R3,Restaurant,2020-03-10,
Bukchang Dong Soon Tofu,12-3085 Hurontario St Mississauga ON L5A 4E4,Restaurant,2019-11-25,
Bukhara Grill Fine Dining Indian Cuisine,190 Main St S Brampton ON L6W 2E2,Restaurant,2020-12-22,
Bulldog Nutrition,2C-543 Steeles Ave Brampton ON L6W 4S2,Restaurant,2019-05-10,
Burger Factory,2-200 Queen St S Mississauga ON L5M 1L3,Restaurant,2020-07-03,
Burger Grill,20 Main St. South Brampton Ontario L6W 2C3,Restaurant,2019-10-25,
