Facility Name,Site Address,Facility Type,Last Inspection Date
Rehan's Your Independent Grocer - Produce Counter,1836 Regent St Sudbury ON P3E 3Z8,Food Take Out,09-Jun-20
Rehan's Your Independent Grocer - Deli/Food takeout,1836 Regent St Sudbury ON P3E 3Z8,Food Take Out,09-Jun-20
Roger's Valu-Mart,30 Main St E Dowling ON P0M 1R0,Food Take Out,07-Dec-20
Rosemarie Playground,1919 Montfort St Sudbury ON P3A 2K7,Food Take Out,05-Jun-19
Sand Bay Camp,2132 Sand Bay Rd Township Of Nairn And Hyman ON P0M 2L0,Food Take Out,20-Jun-19
Saucy Pete's. Home-based business,1587 Bancroft. Dr Sudbury ON P3B 1R7,Food Take Out,02-Feb-21
Seasons Pharmacy and Culinaria,815 Lorne St Sudbury ON P3C 4R5,Food Take Out,19-Oct-20
SGA Old Rock Cafe,935 Ramsey Lake Road Sudbury ON P3E 2C6,Food Take Out,08-Nov-19
Shack A Patates,4549 Beaver Ave Hanmer ON P3P 1C1,Food Take Out,26-May-20
Silver Bullet 2.0,2185 Lasalle Blvd Sudbury ON,Food Take Out,
Silver City - Main Concession Stand,355 Barrydowne Rd Sudbury ON P3B 4K4,Food Take Out,29-Oct-20
Silver City - Out Takes,355 Barrydowne Rd Sudbury ON P3B 4K4,Food Take Out,12-Sep-19
Silver City - Pizza Pizza,355 Barrydowne Rd Sudbury ON P3B 4K4,Food Take Out,12-Sep-19
Silver City - Poptopia,355 Barrydowne Rd Sudbury ON P3B 4K4,Food Take Out,12-Sep-19
Silver City - Pretzel Maker,355 Barrydowne Rd Sudbury ON P3B 4K4,Food Take Out,12-Sep-19
Silver City - Starbucks,355 Barrydowne Rd Sudbury ON P3B 4K4,Food Take Out,12-Sep-19
Silver City - Yoyo's Yogurt Cafe,355 Barrydowne Rd Sudbury ON P3B 4K4,Food Take Out,12-Sep-19
Sizzling Wok,1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,08-Dec-20
Smith's - Prep Department,2040 Algonquin Rd Sudbury ON P3E 4Z6,Food Take Out,04-Dec-20
Smith's - Take Out,2040 Algonquin Rd Sudbury ON P3E 4Z6,Food Take Out,04-Dec-20
Smith's - Deli,2040 Algonquin Rd Sudbury ON P3E 4Z6,Food Take Out,04-Dec-20
Smith's - Take Out,971 Lasalle Blvd Sudbury ON P3A 1X7,Food Take Out,01-Dec-20
Smiths Express,2956 Old Highway 69 Val Caron Ontario P3N 1E3,Food Take Out,10-Mar-20
