Facility Name,Site Address,Community,Facility Type
"Fresh Tea Shop, The",C003A-509 Bayfield Street Barrie ON L4M 4Z8,Barrie,Food Take Out
Freshii,4-1484 Innisfil Beach Road Innisfil ON L9S 4J1,Innisfil,Food Take Out
Frickin Beach,72 Main St Wasaga Beach L9Z 2K9,Wasaga Beach,Food Take Out
Friday Harbour Harbour Master,3800 Sunreef Avenue Innisfil ON L9S 2L3,Innisfil,Food Take Out
Funnel Tunnel,2-14 First Street Wasaga Beach ON L9Z 2K2,Wasaga Beach,Food Take Out
Funvilla,312 King Street Barrie ON L4N 6L2,Barrie,Food Take Out
Galaxy Cinemas,6 Mountain Rd Collingwood ON L9Y 4S8,Collingwood,Food Take Out
Galaxy Cinemas,9226 County Rd 93 Midland ON L4R 4K4,Midland,Food Take Out
Galaxy Cinemas,865 West Ridge Boulevard Orillia ON L3V 8B3,Orillia,Food Take Out
Galaxy Cinemas,72 Commerce Park Dr Barrie ON L4N 8W8,Barrie,Food Take Out
"Gayety Theatre, The",161 Hurontario St Collingwood ON L9Y 2M1,Collingwood,Food Take Out
Georgian Bay General Hospital Volunteer,1112 St. Andrew’s Drive Midland ON L4R 4P4,Midland,Food Take Out
Georgian Variety / Ez's Takeout,426 Concession Road 13 W Tiny ON L0L 2J0,Tiny,Food Take Out
Gino's Pizza,201 Georgian Dr Barrie ON L4M 6M2,Barrie,Food Take Out
Gino's Pizza,3-1491 Innisfil Beach Road Alcona ON L9S 4B2,Alcona,Food Take Out
Glen Orchard General Store,4000 Muskoka District Rd 169 Port Carling ON P0B 1J0,Port Carling,Food Take Out
Gloucester Pool Resort Marina,3720 Narrows Rd Port Severn ON L0K 1S0,Port Severn,Food Take Out
Good Karma,F007-509 Bayfield Street Barrie ON L4M 4Z8,Barrie,Food Take Out
Goodness Me!,5-2-2-79 Park Pl Boulevard Barrie ON L4N 6P4,Barrie,Food Take Out
Goofy Newfie,17039 Regional Road 27 Waverley ON L0L1P0,Tay,Food Take Out
Gostick Park,51 Sellens Dr Bracebridge ON P1L 1R3,Bracebridge,Food Take Out
Grandma's Beach Treats,1014 Mosley St Wasaga Beach ON L9Z 2G7,Wasaga Beach,Food Take Out
Gravenhurst Curling Club,330 John St N Gravenhurst ON P1P 1G4,Gravenhurst,Food Take Out
Gravenhurst Opera House,295 Muskoka Rd S Gravenhurst ON P1P 1J1,Gravenhurst,Food Take Out
Great Wall,448 Holland Street W Bradford ON L3Z 0G1,Bradford,Food Take Out
Gull Lake Rotary Park,420 Bethune Dr N Gravenhurst ON P1P 1B8,Gravenhurst,Food Take Out
Happy Mango,7-237 Mapleview Dr E Barrie ON L4N 0W5,Barrie,Food Take Out
Harvey's,4-617 Cundles Road E Barrie ON L4M 0G9,Barrie,Food Take Out
Heritage Park,116 Queen Street W Elmvale ON L0L 1P0,Elmvale,Food Take Out
Hero Certified Burgers,35 Lone Pine Road Port Severn ON L0K 1S0,Port Severn,Food Take Out
"Hob, The",2717 Stephen Drive Brechin ON L0K 1B0,Brechin,Food Take Out
Hoffman's Meats & European Deli,6278-21 22 Sideroad Nottawasaga Stayner ON L0M 1S0,Stayner,Food Take Out
Holly Community Centre,171 Mapleton Ave Barrie ON L4M 4T5,Barrie,Food Take Out
Hollywood Pizza,6-4 Pine River Rd Angus ON L0M 1B2,Angus,Food Take Out
Honey Harbour General Store - Take-Away,2604 Honey Harbour Road Honey Harbour ON P0E 1E0,Honey Harbour,Food Take Out
Honey Monster,12 Main St Wasaga Beach ON L9Z 2K3,Wasaga Beach,Food Take Out
Horseshoe Resort - Cafe,1101 Horseshoe Valley Rd Oro-Medonte ON L4M 4Y8,Oro-Medonte,Food Take Out
Hungry Jack's Pizza,15-170 Prince William Way Barrie ON L9J 0G7,Barrie,Food Take Out
Imagine Cinemas Alliston,101A-130 Young St Alliston ON L9R 1P8,Alliston,Food Take Out
Imperial Meats,A24-3311 County Rd 89 Cookstown ON L0L 1L0,Cookstown,Food Take Out
Innisfil Beach Snack Bar,676 Innisfl Beach Road Innisfil ON L9S 4E4,Alcona,Food Take Out
Innisfil Indy Karting,2006 Gilford Rd Gilford ON L0L 1R0,Gilford,Food Take Out
Innisfil Recreational Complex - Recreation Leisure Services,7315 Yonge St Innisfil ON L9S 1A1,Innisfil,Food Take Out
Inside Cafe,166 Hurontario St Collingwood ON L9Y 2M2,Collingwood,Food Take Out
Inverness Trailer Park - Big Jack's Take-Out,1052 Inverness Rd Windermere ON P0B 1P0,Windermere,Food Take Out
J & T Foods,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
J&Y Panda,4-170 Prince William Way Barrie ON L9J 0G7,Barrie,Food Take Out
Jack & Stella,1004 Bala Falls Road Bala ON P0C 1A0,Bala,Food Take Out
Jade Thai,5B-157 Bayfield Street Barrie ON L4M 3B4,Barrie,Food Take Out
"J'adore/Speakcheasy, The",123 Dunlop St E Barrie ON L4M 1A6,Barrie,Food Take Out
Jay's Variety & Gifts,G71-400 Bayfield St Barrie ON L4M 5A1,Barrie,Food Take Out
JD Boss Pepper Sauce,63 Elgin St Collingwood ON L9Y 3L6,Collingwood,Food Take Out
Jerk It Up,535 River Road W Wasaga Beach L9Z 2X2,Wasaga Beach,Food Take Out
Jimmy Chews,55 Mulcaster St Barrie ON L4M 3L9,Barrie,Food Take Out
JJ's Caribbean Cuisine,80-320 Bayfield St Barrie Ontario L4M 3C1,Barrie,Food Take Out
Johnny Burger,2-847 Innisfil Beach Rd Alcona ON L9S 1Y8,Alcona,Food Take Out
Jonesy Jr. Inc,75 Mapleview Drive W Barrie ON L4N 9H7,Barrie,Food Take Out
Josies,692 Essa Road Barrie ON L4N 9C8,Barrie,Food Take Out
Jugo Juice,1216-201 Georgian Dr Barrie ON L4M 6M2,Barrie,Food Take Out
JW Marriott The Rosseau Muskoka Resort & Spa - Country Market,1050 Paignton House Rd Minett ON P0B 1G0,Minett,Food Take Out
Kawartha Dairy,178 Highway 60 Huntsville ON P1H 1C2,Huntsville,Food Take Out
Kawartha Dairy,10 Anne St S Barrie ON L4N 2C6,Barrie,Food Take Out
Kbpizzeria,4-21 High Street MacTier ON P0C1H0,MacTier,Food Take Out
"Kee to Bala, The",1012 Bala Falls Road Bala ON P0C 1A0,Bala,Food Take Out
Kernels,E003-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
KFC,424 West St N Orillia ON L3V 6H2,Orillia,Food Take Out
Kids Ville,8-945 Innisfil Beach Road Innisfil ON L9S 1V3,Alcona,Food Take Out
Kitchener Park Concession,25 Kitchener Street Orillia ON L3V 6Z9,Orillia,Food Take Out
Knead Pizza Co.,3-1 Lock Street East Port Carling ON P0B 1J0,Port Carling,Food Take Out
Knights Inn,751 Yonge St Midland ON L4R 2E1,Midland,Food Take Out
KOA - Barrie,3138 Penetanguishene Rd Barrie ON L4M 4Y8,Barrie,Food Take Out
Koi Bubble Tea,9-10 Main Street Wasaga Beach,Wasaga Beach,Food Take Out
Kozlov Café,60 Worsley Street Barrie ON L4M 1L6,Barrie,Food Take Out
L-A Chip Stop,171 Burton ave Barrie ON,Barrie,Food Take Out
"Lake Joseph Club, The",1072 Elgin House Rd Minett ON P0B 1J0,Minett,Food Take Out
Lake of Bays Arena & Community Centre,10 University St Baysville ON P0B 1A0,Baysville,Food Take Out
Lauderdale Point Marina & Resort,3500 Lauderdale Point Crescent Severn Bridge ON P0E 1N0,Severn Bridge,Food Take Out
Lemar's Pizza,5-95 Holland Street W Bradford ON L3Z 2B5,Bradford,Food Take Out
Leska's Meat & Delicatessan,5210 Highway 12 Orillia ON L3V 6H7,Orillia,Food Take Out
Leuk No.2 Cafe,124 Hurontario St Collingwood ON L9Y 2L8,Collingwood,Food Take Out
