Facility Name,Site Address,Community,Facility Type
Continental Specialties,126 Dunlop Street W Barrie ON L4N 1B1,Barrie,Restaurant
"Cookhouse Restaurant, The",2881 Highway 60 Dwight ON P0A 1H0,Dwight,Restaurant
Cook's Bay Fish & Chips,3-136 Holland Street E Bradford ON L3Z 2P7,Bradford,Restaurant
"Cookstown Pub Co., The",52 Queen St W Cookstown ON L0L 1L0,Cookstown,Restaurant
"Coop Public House & Foodiary, The",1-2-265 King Street N Alliston ON L9R 1N3,Alliston,Restaurant
Coop's Smokin' Wing House,81 Queen Street S Tottenham ON L0G 1W0,Tottenham,Restaurant
Cora,A-135 Mapleview Dr W Barrie ON L4N 9H7,Barrie,Restaurant
"Corner Store, The",1001 Juddhaven Rd Minett ON P0B 1G0,Minett,Restaurant
Cosmos Ristorante,90 Mississaga Street E Orillia ON L3V 1V7,Orillia,Restaurant
Costa Verde,494 Holland Street West Bradford ON L3Z 0A2,Adjala-Tosorontio,Restaurant
Cottage Bistro,81 Joseph St Port Carling ON P0B 1J0,Port Carling,Restaurant
Cottage Canoe,1-3-453 Dunlop St W Barrie ON L4N 1C3,Barrie,Restaurant
Cottage Cravings,3181 Muskoka Rd 169 Bala ON P0C 1A0,Bala,Restaurant
Cotto 88,4240 County Rd 88 Bond Head ON L0G 1B0,Bond Head,Restaurant
Couchiching Craft Brewery Co.,162 Mississaga Street East Orillia ON L3V1V9,Orillia,Restaurant
Couchiching Golf Club,370 Peter St N Orillia ON L3V 6R9,Orillia,Restaurant
"Country Diner, The",1-2 10 Yonge St Elmvale ON L0L 1P0,Elmvale,Restaurant
Country Kitchen Restaurant,1A-131 Saunders Road Barrie ON L4N 9A7,Barrie,Restaurant
Country Style,131 Tiffin St Barrie ON L4M 2N2,Barrie,Restaurant
Country Style,140 Atherley Road Orillia ON L3V 7K8,Orillia,Restaurant
Country Style,38 Coldwater Rd Coldwater ON L0K 1E0,Coldwater,Restaurant
"Cove Café, The",902 Lockhart Road Innisfil ON L9S 4V2,Innisfil,Restaurant
"Crazy Fox Bistro, The",135 Bayfield St Barrie ON L4M 3B3,Barrie,Restaurant
Creemore Bakery Inc.,148 Mill St Creemore ON L0M 1G0,Creemore,Restaurant
Creemore Pizza Co.,B-5 Francis St. E Creemore ON,Creemore,Restaurant
Crossover's Entertainment Lounge,428 Dunlop St W Barrie ON L4N 1C2,Barrie,Restaurant
Crossroads Fish & Chips,2-3-6048 Highway 9 New Tecumseth ON L0G 1T0,New Tecumseth,Restaurant
Crystal Buffet,1-2 Mountain Rd Collingwood ON L9Y 4S8,Collingwood,Restaurant
Curly Willow,141 Pine St Collingwood ON L9Y 2P1,Collingwood,Restaurant
Da Grazia,20 Victoria St E Alliston ON L9R 1T4,Alliston,Restaurant
Da Vinci's Gate,224 Line 7 North Oro-Medonte ON L0L 2E0,Oro,Restaurant
Dairy Queen,5-7377 Highway 26 Stayner ON L0M 1S0,Stayner,Restaurant
Dairy Queen,67 Memorial Ave Orillia ON L3V 5W9,Orillia,Restaurant
