Facility Name,Site Address,Last Inspection Date,Facility Type
House Of China,100 Harwood Ave S Ajax ON L1S 2H6,09-Dec-19,Food Take Out
iGreek,1-196 King St E Bowmanville ON L1C 1P1,16-Nov-20,Food Take Out
iGreek,359 Wilson Rd S Oshawa ON L1H 6C6,11-Jan-21,Food Take Out
Iroquois Park Sports Centre - Concessions #20712,500 Victoria St W Whitby ON L1N 9Z3,11-Feb-20,Food Take Out
Island Grill,15751 Island Rd Port Perry ON L9L 1B4,15-Sep-20,Food Take Out
Jimmy Guaco's,2-4099 Baldwin St S Whitby ON L1R 2W6,15-Oct-19,Food Take Out
Jimmy Guaco's,36 Athol St E Oshawa ON L1H 1J7,04-Feb-21,Food Take Out
Jimmy The Greek,12-1355 Kingston Rd Pickering ON L1V 1B8,10-Feb-21,Food Take Out
Jimmy The Greek,FC12-419 King St W Oshawa ON L1J 5K8,31-Oct-19,Food Take Out
Jus Convenience Jerk Stop,118-1910 Dundas St E Whitby ON L1N 2L6,11-Feb-21,Food Take Out
Kelly's Fish & Chips,1040 Regional Rd 10 Sunderland ON L0C 1H0,07-May-19,Food Take Out
Ketotastic,2480-419 King St W Oshawa ON L1J 2K5,,Food Take Out
KFC,1-1340 Kingston Rd Pickering ON L1V 3M9,06-Feb-20,Food Take Out
KFC,304 Toronto St S Uxbridge ON L9P 1Z7,14-May-20,Food Take Out
KFC,15 Westney Rd Ajax ON L1T 1P5,29-Jan-21,Food Take Out
KFC,25 Thickson Rd N Whitby ON L1N 8W8,13-Nov-19,Food Take Out
KFC,FC04-419 King St W Oshawa ON L1N 2K5,13-Jul-20,Food Take Out
KFC,574 King St E Oshawa ON L1H 1G5,17-Jan-20,Food Take Out
King Pita & Rice,11 Taunton Rd E Oshawa ON L1G 3T6,09-Jun-20,Food Take Out
Knox Pumpkin Farm,6325 Enfield Rd Hampton ON L0B 1J0,21-Oct-19,Food Take Out
Kunafa King Corporation,6-279 Kingston Rd E Ajax ON L1S 6M7,,Food Take Out
Kung Pao Wok,FC13-419 King St W Oshawa ON L1J 2K5,03-Feb-20,Food Take Out
La Pizza & Pasta,1-30 Taunton Rd E Oshawa ON L1G 3T7,12-Feb-21,Food Take Out
La Rosh,14A-1 Rossland Rd W Ajax ON L1Z 1Z2,11-Mar-20,Food Take Out
Lakeridge Health Oshawa - Tim Horton's,1 Hospital Court Oshawa ON L1G 2B9,02-Sep-20,Food Take Out
Landmark Cinemas 24 Whitby,75 Consumers Dr Whitby ON L1N 9S2,22-Dec-20,Food Take Out
Lava Yoga,1 Simcoe St N Oshawa ON L1G 4R7,10-Oct-19,Food Take Out
Lazeez Shawarma,1812 Simcoe St N Oshawa ON L1G 4Y3,17-Sep-20,Food Take Out
Lazeez Shawarma,14B-1 Rossland Rd W Ajax ON L1T 4J9,13-Jan-20,Food Take Out
Leaskdale Gas Bar,700 Durham Regional Rd 13 Leaskdale ON L0C 1C0,25-Aug-20,Food Take Out
Lena's Roti & Doubles,1-300 Rossland Rd E Ajax ON L1Z 1Z2,10-Jan-20,Food Take Out
Linton's Farm Market,571 Raglan Rd E Oshawa ON L1H 7K4,16-Aug-19,Food Take Out
Little Caesar’s,965 Dundas Street W Whitby ON L1P 1G8,25-Aug-20,Food Take Out
Little Caesars,3-16 Winchester Rd E Whitby ON L1M 1B3,21-Jan-20,Food Take Out
Little Caesars,1128 Simcoe St. N Oshawa ON L1G 4W9,26-Feb-20,Food Take Out
Little Caesars,1-310 Bloor St W Oshawa ON L1J 1R2,23-Dec-20,Food Take Out
Little Caesars,4-3555 Thickson Road North Whitby ON L1R 2H1,03-Feb-20,Food Take Out
Little Caesars,16-1414 King St E Courtice ON L1E 3B4,22-Jan-20,Food Take Out
Little Caesars,113B-243 King St E Bowmanville ON L1G 3X1,04-Mar-20,Food Take Out
Little Caesars,A2-5-251 Ritson Rd N Oshawa ON L1G 5P5,21-Jan-20,Food Take Out
Little Caesar's,570 Kingston Rd Pickering ON L1V 1A6,04-Feb-21,Food Take Out
Little Caesar's,14A-475 Westney Rd N Ajax ON L1T 3H4,05-Jun-20,Food Take Out
Little Caesar's,21-1725 Kingston Rd Pickering ON L1V 4L9,14-Feb-20,Food Take Out
Little Polish Market,116-20 Broadleaf Ave Whitby ON L1R 0B5,19-Nov-19,Food Take Out
Lyndebrook Golf Course,5055 Baldwin St S Whitby ON L1M,25-Sep-19,Food Take Out
M.C. Asia Kitchen,2-28 Toronto St S Uxbridge ON L9P 1P3,26-Feb-20,Food Take Out
Ma Yve Grill,2-1980 Rosefield Rd Pickering ON L1V 3M4,28-Nov-19,Food Take Out
Mana Salwa Restaurant,14-1211 Kingston Rd Pickering ON L1V 6M5,26-Nov-19,Food Take Out
Manaja's Kitchen,75 Williamson Dr W Ajax ON L1T 4Y4,26-Dec-20,Food Take Out
Manchu Wok,9-1355 Kingston Rd Pickering ON L1V 1B8,23-Jan-20,Food Take Out
Maple Garden,104-1910 Dundas St E Whitby ON L1N 2L6,25-Feb-20,Food Take Out
Marble Slab Creamery,12-279 Kingston Rd E Ajax ON L1Z 0K5,19-Aug-20,Food Take Out
