Facility Name,Site Address,Facility Type,Last Inspection Date
KFC,405 Cote Ave Chelmsford ON P0M 1L0,Restaurant,10-Dec-20
Killarney Bay Inn - Staff Housing Kitchen,2000 Noble St Killarney ON P0M 2A0,Restaurant,30-Aug-19
Killarney Mountain Lodge,3 Commissioner St Killarney ON P0M 2A0,Restaurant,29-Jun-20
King Pin Restaurant - Plaza Bowl,1799 Garden St Sudbury ON P3A 5E7,Restaurant,29-Oct-20
Kings Buffet,1051 Kingsway Blvd Sudbury ON P3B 2E6,Restaurant,25-Jan-21
Kinhao Sushi,2040 Algonquin Rd Sudbury ON P3E 4Z6,Restaurant,02-Feb-21
Kitchen Table,1200 Paris Street Sudbury ON P3E 5V4,Restaurant,
Kuppajo Espresso Bar,109 Larch St Sudbury ON P3E 4T5,Restaurant,15-Oct-20
La Casa Mexicana,2-49 Elgin St Sudbury ON P3E 3N1,Restaurant,05-Nov-20
Lakair Lodge,8219 Hwy 64 Monetville ON P0M 2K0,Restaurant,24-Jun-20
Lake Obabika Lodge,P.O. Box 1 River Valley ON P0H 2C0,Restaurant,25-Jun-19
Lakeland Lodge,15 Marine Landing Skead ON P0M 2Y0,Restaurant,21-Aug-19
Laughing Buddha,194 Elgin St Sudbury ON P3E 3N5,Restaurant,09-Oct-20
Laurentian University - Alphonse Raymond - Tim Hortons (Restaurant #106292),935 Ramsey Lake Rd Sudbury ON P3E 2C6,Restaurant,03-Feb-20
Laurentian University - Arts Building - Tim Hortons (Restaurant #100479),935 Ramsey Lake Rd Sudbury ON P3E 2C6,Restaurant,10-Sep-20
Laurentian University - Quesada Burritos & Tacos,935 Ramsey Lake Road Sudbury ON P3E 2C6,Restaurant,03-Feb-20
Laurentian University - Starbucks,935 Ramsey Lake Rd Sudbury ON P3E 2C6,Restaurant,03-Feb-20
Little Montreal,182 Elgin St Sudbury ON P3E 3N5,Restaurant,01-Dec-20
Lively Golf & Country Club,305 A Sixth Ave Lively ON P3Y 1M4,Restaurant,10-Jun-20
Long Du Restaurant,2121 Long Lake Rd Sudbury ON P3E 5H2,Restaurant,19-Jan-21
Lot 88 Steakhouse,1070 Kingsway Blvd Sudbury ON P3B 2E5,Restaurant,20-Nov-20
Lucky's Too?,403 Hwy 17 Walford ON P0P 2E0,Restaurant,19-Aug-20
M & R Grill,7 Young St Capreol ON P0M 1H0,Restaurant,19-Nov-20
M.I.C. Canadian Eatery & Whisky Pub,200 Falconbridge Rd Sudbury ON P3A 5K3,Restaurant,28-Oct-20
Mache-Kino Lodge,"Raney Township, Denyes Lake ON",Restaurant,15-Aug-19
Mange Restaurant,1635 Main St Val Caron ON P3N 1R8,Restaurant,09-Dec-19
Manitoulin Espresso Bar,2218 Hwy 551 Mindemoya ON P0P 1S0,Restaurant,09-Jul-20
Manitoulin Golf,25 Golf Course Rd Gore Bay ON P0P 1H0,Restaurant,23-Jun-20
Manitoulin Hotel,66 Meredith St Little Current ON P0P 1K0,Restaurant,17-Jul-20
Man-Wah House,24 Amanda St Coniston ON P0M 1M0,Restaurant,17-Nov-20
Mary Brown's Famous Chicken & Taters,13C-2040 Algonquin Rd Sudbury ON P3E 4Z6,Restaurant,31-Jan-20
McDonald's,2416 Long Lake Rd Sudbury ON P3C 4P4,Restaurant,27-Jan-21
McDonald's,711 Centre St Espanola ON P5E 1G2,Restaurant,18-Jan-21
McDonald's,3575 Hwy 144 Chelmsford ON P0M 1L0,Restaurant,17-Dec-20
McDonald's,914 Newgate Ave Sudbury ON P3A 5J9,Restaurant,25-Jan-21
McDonald's,5118 Hwy 69 N Hanmer ON P3P 0C8,Restaurant,11-Jan-21
McDonald's,1349 Lasalle Blvd Sudbury ON P3A 1Z2,Restaurant,01-Feb-21
McDonald's,1194 Kingsway Blvd Sudbury ON P3B 2E8,Restaurant,08-Sep-20
McDonald's,1740 Regent St S Sudbury ON P3E 3Z8,Restaurant,06-Jan-21
McDougall Energy Inc. (Jeremy's),220 Highway 17 Nairn Centre ON P0M 2L0,Restaurant,18-Aug-20
McKay's Cafe,2009 Long Lake Rd Sudbury ON P3E 6C3,Restaurant,05-Nov-20
McKay's Cafe,65 Larch St Sudbury ON P3E 1B8,Restaurant,27-Nov-20
Meadow Springs Golf Club,5839 Hwy 64 Monetville ON P0M 2K0,Restaurant,18-Aug-20
Meals of Hope,9 Elm St Chapleau ON P0M 1K0,Restaurant,02-Nov-20
Meldrum Bay Inn,25959 Hwy 540 Meldrum Bay ON P0P 1R0,Restaurant,15-Jul-20
Microtel Inn & Suites By Wyndham,1312 Kingsway Blvd Sudbury ON P3B 2E5,Restaurant,13-Oct-20
Milestones,1299 Marcus Dr Sudbury ON P3B 4K6,Restaurant,28-Jan-21
Mill Lake Lodge,J.D.-J.D. 340 Collins Inlet N Shore Philip Killarney ON P0M 2A0,Restaurant,18-Jun-19
Mindemoya Grill & Chill,2080 Hwy 551 Mindemoya ON P0P 1S0,Restaurant,27-Oct-20
Monetville Tavern & Lodge,53 Shanty Bay Rd Monetville ON P0M 2K0,Restaurant,19-Jun-19
Montana's BBQ and Bar,1300 Marcus Dr Sudbury ON P3B 4K5,Restaurant,04-Feb-21
Monte Vista Golf Club - The Summit Pub and Patio,2516 Hwy 69 N Val Caron ON P3N 1K6,Restaurant,07-Aug-20
Moose Horn Lodge,Chapise Township McLennan Lake Chapleau ON P0M 1K0,Restaurant,25-Feb-20
Mr. J's Roadhouse,4-140 Regional Rd 24 Lively ON P3Y 1J2,Restaurant,21-Oct-20
Mr. Prime Rib,777 Barrydowne Rd Sudbury ON P3A 3T6,Restaurant,18-Dec-20
Mr. Souvlaki,1349 Lasalle Blvd Sudbury ON P3A 1Z2,Restaurant,07-Dec-20
Mucho Burrito,1250 Lasalle Blvd Sudbury ON P3A 1Y7,Restaurant,25-Jan-21
Mum's Restaurant & Bakery,2215 Hwy 551 Mindemoya ON P0P 1S0,Restaurant,10-Feb-21
My Thai Palace,893 Notre Dame Ave Sudbury ON P3A 2T6,Restaurant,01-Dec-20
Nemegosenda Lake Lodge,Nemegosenda Lake Foleyet ON P0M 1T0,Restaurant,
Neomo medical,885 Prete St Sudbury ON,Restaurant,10-Nov-20
New Trevi Restaurant,1837 Lasalle Blvd Sudbury ON P3A 2A3,Restaurant,19-Oct-20
Noelville Restaurant,8 St David St N Noëlville ON P0M 2N0,Restaurant,16-Nov-20
Northbury Hotel and Conference Centre,50 Brady St Sudbury ON P3E 1C8,Restaurant,04-Nov-20
Northern Essential Salt Cave and Cafe,221 Regent St Sudbury ON P3C 4C4,Restaurant,13-Oct-20
Northern Lights Restaurant,14 Young St Foleyet ON P0M 1T0,Restaurant,23-Sep-20
Northwest Trading Company,327 Hwy 17 W McKerrow ON P0P 1M0,Restaurant,07-Oct-20
