Facility Name,Last Inspection Date,Site Address
Symposium Cafe,21-Dec-20,58 King George Rd Brantford ON N3R 5K4
Taal Fine Indian Cuisine,26-Jul-20,578 Colborne Street East Brantford ON N3S 3P6
Taco Bell,14-Feb-20,68 King George Rd. Brantford ON N3R5K4
The Blue Dog Cafe,07-Oct-19,199 Brant Ave Brantford ON N3T 3J1
The Campers Den- Lyons Little Austria,04-Jun-20,137 6th Conc. Burford ON N0E 1A0
The Chinese Sisters,16-Oct-20,"120 Colborne Street, Unit 102 Brantford ON N3T 2G6"
The Cobblestone Public House,11-Feb-20,111 Grand River St. N. Paris ON N3L 2M4
The Dragon Sports Bar & Grill,04-Mar-20,14 Main Street South St. George ON N0E 1N0
The Everest Grill,18-Nov-19,781 Colborne St E. Brantford ON N3S 3S3
The Exchange Cafe,26-Oct-20,94 Tutela Heights County Of Brant ON N3T 1A1
The Field House,15-Jan-20,53 Simcoe St Scotland ON N0E 1R0
The Lighthouse Fish & Chips,24-Nov-20,1-750 Colborne Street Brantford ON N3S 3S1
The Log House Restaurant,21-Jan-20,131 King St. Burford ON N0E 1A0
The Oaks of St. George Golf Club,27-May-20,269 German School Rd. Paris ON N3L 3E1
The Ring Restaurant,20-Dec-19,271 Colborne St E (7549997) Brantford ON N3T 2H5
The Rise Centre Inc.,26-Nov-19,411 Elgin St Brantford ON N3S 7P5
The Rose & Thistle,18-Dec-20,48 Dalhousie St Brantford ON N3T 2H8
The Windmill,05-Jan-21,701 Mt. Pleasant Rd Mt. Pleasant ON N0E 1K0
The Works,04-Nov-20,80 Dalhousie St Brantford ON N3T 2J2
Thistle Stop Cafe,24-Jun-20,41 Main St. S St. George ON
Tim Horton Donuts,10-Feb-20,1290 Colborne St E Brantford ON N3T 5L4
Tim Hortons,14-Jan-20,265 King George Rd. Brantford ON N3R 6Y1
Tim Hortons,27-Oct-20,53 Dalhousie St. Brantford ON N3T 2H9
Tim Hortons,06-Mar-20,200 Terrace Hill St Brantford ON N3R 1G9
Tim Hortons,24-Nov-20,50 Market St.South Brantford ON N3S 2E3
Tim Horton's,02-Dec-20,225 Henry St Brantford ON N3S 7R4
Tim Horton's,13-Mar-20,610 West St Brantford ON N3R 5M7
Tim Horton's,20-Nov-19,648 Colborne Street Brantford ON N3S 3P8
Tim Horton's,04-Dec-20,164 Colborne St. W. Brantford ON N3T 1L2
Tim Horton's,10-Jan-20,304 Grand River St N. Paris ON N3L 3R7
Tim Horton's,17-Jan-20,1084 Rest Acres Rd Paris ON N3L 3K7
Tim Horton's,09-Dec-19,184 Brant Rd St. George ON N0E 1N0
Tim Horton's,24-Jan-20,151 Dundas St. E. Paris ON N3L 3H4
Tim Horton's - (Sinclair food Court),12-Mar-20,11 Sinclair Blvd. Brantford ON N3S 7X6
Tim Horton's - 226 West St.,16-Dec-19,226 West St. Brantford ON N3R 3V8
Tim Horton's - KGR,24-Nov-20,80 King George Rd Brantford N3R 5K4
Tim Horton's - Lynden Rd,31-Oct-19,155 Lynden Rd Brantford ON N3T 5L8
Tim Hortons 2 Lower Level,09-Mar-20,200 Terrace Hill St Brantford ON N3R 1G9
Tim Horton's Conklin Rd.,15-Jan-20,C-360 Conklin Road Brantford ON N3T 0G8
Tim Horton's Paris Rd,09-Jan-20,177 Paris Road Brantford ON N3R 1J2
Tim Horton's West,20-Jan-20,440 Colborne St W Brantford ON N3T 0J2
Tito's Pizza,25-Feb-20,A-69 Main St. S St. George ON N0E 1N0
Two Doors Down,17-Jun-19,139 Market Street Brantford ON N3T 2Z9
Vegas World Lounge,14-Jun-19,112 Dalhousie St Brantford ON N3T 2J3
Veritas Cafe,,229-1 Market Street Brantford ON N3T 6C8
Viet Thai Basil Restaurant,21-Apr-20,63-67D Brant Avenue Brantford ON N3T 3G7
Wendy's,20-Apr-20,620 West St Brantford ON N3R 6M7
Wendy's- (Sinclair Food Court),17-Oct-19,11 Sinclair Blvd. Brantford ON N3S 7W5
Wendy's Restaurant,24-Nov-20,78 Icomm Dr Brantford ON N3S 2X5
West Garden Buffet,10-Mar-20,560 West St. Brantford ON N3R 6M7
Wild Wing,04-Nov-20,A-4-248 Lynden Rd Brantford ON N8R 8A3
Williams Fresh Cafe,23-Jun-20,615 West St Brantford ON N3R 7C5
Wimpy's Diner,24-Apr-20,3 Dunsdon St Brantford ON N3R 3J2
Wincey Mills Market - Paris Brewing Co.,20-Nov-20,31 Mechanic St Brant ON N3L 1K2
Wingmaster,18-Dec-20,70 Erie Ave Brantford ON N3E 2E8
Yong Great Wall Buffet,18-Dec-20,C-82 King George Brantford ON N3R 5K4
Zaaika Indian Cuisine,21-May-20,46 Dalhousie Street Brantford ON N3T 2H8
Zanders Fire Grill and Brew Lounge,16-Nov-20,#10-190 King George Rd Brantford ON N3R 5L3
ZaZa's Pizzeria Inc.,15-Oct-19,1C-155 Lynden Rd Brantford ON N3R 8A7
