Facility Name,Site Address,Facility Type,Last Inspection Date
T-Bones,953 Charing Cross Rd Chatham ON N7M 5H9,Restaurant,01-Dec-20
Ten Seven Cafe & Lounge,B-595 St. Clair Street Chatham ON N7L 3L3,Restaurant,25-Sep-19
The Black Goose Grill,525 James Street Wallaceburg ON N8A 2P1,Restaurant,11-Dec-20
The Boomtown Diner,255 Main St Bothwell ON N0P 1C0,Restaurant,07-Aug-20
The Car Barn,23 Talbot Rd E Wheatley ON N0P 2P0,Restaurant,16-Oct-20
The Clubhouse at Baldoon,7018 Dufferin Ave Wallaceburg ON N8A 4M8,Restaurant,23-Dec-20
The Garage,3 Stanley Ave Merlin ON N0P 1W0,Restaurant,16-Dec-20
The Jazzbah,270 King Street West W Chatham ON N7M 1E7,Restaurant,14-Sep-20
The Links of Kent,120 Indian Creek W Chatham ON N7M 5J5,Restaurant,11-Dec-20
The Pit Crew Café,Unit 1-254 Talbot Street Blenheim ON N0P 1A0,Restaurant,15-Dec-20
The Pogue,15 Erie Street North Wheatley ON N0P 2P0,Restaurant,16-Sep-20
The Stubby Goat,153 Nelson Street Wallaceburg Ontario N8A 4G2,Restaurant,25-Nov-20
Tim Hortons,510 Grand Avenue Chatham ON N7L 3Z2,Restaurant,31-Jul-20
Tim Hortons,32 London Rd Thamesville ON N0P 2K0,Restaurant,15-Dec-20
Tim Hortons,756 St Clair Rd Chatham ON N7M 5J7,Restaurant,24-Jul-20
Tim Hortons,500 Bloomfield Road Chatham ON N7M 5J5,Restaurant,30-Oct-20
Tim Hortons,41 Park Avenue E Chatham ON N7M 3V3,Restaurant,25-Nov-20
Tim Hortons,33 Third Street Chatham ON N7M 2M4,Restaurant,09-Jul-20
Tim Hortons,79 Talbot St W Blenheim ON N0P 1A0,Restaurant,10-Dec-20
Tim Hortons,1184 North Street Dresden ON N0P 1M0,Restaurant,02-Dec-20
Tim Hortons,20 Keil Dr Chatham ON N7M 3G8,Restaurant,26-Oct-20
Tim Hortons,6 Mill St W Tilbury ON N0P 2L0,Restaurant,09-Oct-20
Tim Hortons,848 Dufferin Avenue Wallaceburg ON N8A 2V5,Restaurant,01-Dec-20
Tim Hortons,60 McNaughton Avenue Wallaceburg ON N8A 1R9,Restaurant,03-Nov-20
Tim Hortons,368 St. Clair Street Chatham ON N7L 3K2,Restaurant,17-Nov-20
Tim Hortons,Highway 401 W Tilbury ON N0P 2L0,Restaurant,01-Oct-20
Tim Hortons,20474 Victoria Road Ridgetown ON N0P 2C0,Restaurant,17-Jun-20
Tim Hortons,159 Lacroix Chatham ON N7M 2V3,Restaurant,08-Jul-20
Tim Hortons,Highway 401 E Tilbury ON N0P 2L0,Restaurant,14-Oct-20
Tokyo Sushi,A-150 Richmond Street Chatham ON N7M 1N9,Restaurant,29-Oct-20
Tru's Grillhouse,220 Riverview Dr Chatham ON N7M 5Z8,Restaurant,20-Aug-20
