Facility Name,Site Address,Facility Type,Last Inspection Date
Sottozero Gelato,2235 Todd Lane Lasalle ON N9H 1K1,Food Take Out,29-Oct-2020
Soup R Salads,3100 Howard Ave Windsor ON N8X 3Y8,Food Take Out,25-Nov-2020
St. Clair College Sports Plex Snack Bar,2000 Talbot Rd Windsor ON N9A 6S4,Food Take Out,09-Dec-2019
St. Jerome Church,3739 Ypres Ave Windsor ON N8W 1S9,Food Take Out,07-Jun-2019
Stop 26 Pizzeria,10585 Clairview Ave Windsor ON N8P 1B3,Food Take Out,29-Jun-2020
Subway,1107 Ouellette Ave Windsor ON N9A 4K1,Food Take Out,28-Jan-2021
Sun Chong Gourmet BBQ,309 Wyandotte St W Windsor ON N9A 3H7,Food Take Out,13-Feb-2020
Super 8,2265 Huron Church Rd Windsor ON N9C 2L9,Food Take Out,10-Dec-2019
Sushi One Express,7654 Tecumseh Rd E Windsor ON N8T 1E9,Food Take Out,
Sweetness Chocolate,2120 Gladstone Avenue Windsor ON N8W 2N5,Food Take Out,27-Jan-2020
Syd's Sandwich Co,559 Pelissier St Windsor ON N9A 4L2,Food Take Out,29-Oct-2020
T Bear's Creamery,9945 Tecumseh Rd E Windsor ON N8R 1A5,Food Take Out,22-Jan-2021
Tecumseh Pizza,1614 Lesperance Rd Tecumseh ON N8S 1Y3,Food Take Out,22-Dec-2020
The 77 Store,1560 County Rd 34 Ruthven N0P 2G0,Food Take Out,19-Nov-2020
The Boonies Drive In Theatre,4625 Richardson Side Rd Tilbury ON N0R 1K0,Food Take Out,18-Jun-2020
The Cutting Board Deli,14301 Tecumseh Rd E Tecumseh Ontario N8N 1M9,Food Take Out,05-Mar-2020
The Filling Station,333 North Shore Rd Pelee Island ON N0R 1M0,Food Take Out,23-Jul-2020
The Happy Era,355 Hwy 77 Leamington ON N8H 3V5,Food Take Out,15-Jan-2021
The Hub,215 Chatham St E Windsor ON N9A 2W3,Food Take Out,22-Dec-2020
The Humble Baker,12170 Tecumseh Rd E Tecumseh ON N8N 1L9,Food Take Out,
The Humble Baker,12170 Tecumseh Rd E Tecumseh ON N8N 1L9,Food Take Out,19-Feb-2020
The Hungry Wolf Restaurant Express,11-25 Amy Croft Dr Tecumseh ON N9K 1C8,Food Take Out,27-Oct-2020
The Meal Prep Company,110-3850 Dougall Ave Windsor ON N9G 1X2,Food Take Out,17-Dec-2020
The Mush Hub Co.,879 Walker Road Windsor ON N8Y 2N4,Food Take Out,19-Jan-2021
The Nutrition Nest,1647 Tecumseh Rd E Windsor ON N8W 1C6,Food Take Out,
The Organic Juicery,32 Arthur Ave Essex ON N8M 2M9,Food Take Out,07-Jan-2020
The Original Gino's Pizza,2212 Huron Church Rd Windsor ON N9C 2L7,Food Take Out,12-Nov-2020
The Parlour Ice Cream Co.,5881 Malden Rd Lasalle ON N9H 1S5,Food Take Out,04-Dec-2020
The Perch Pit Inc.,229 Dalhousie St Amherstburg ON N9V 1W6,Food Take Out,28-Sep-2020
The Perch Pit Inc.,229 Dalhousie St Amherstburg ON N9V 1W6,Food Take Out,
Thiessen Orchards,400 Talbot Rd E Leamington ON N8H 3V6,Food Take Out,07-Oct-2020
Thyme To-Go,103-640 Chilver Rd Windsor ON N8Y 2K2,Food Take Out,06-Oct-2020
Tim Horton's,3585 Forest Glade Dr Windsor ON N8R 1X9,Food Take Out,28-Jul-2020
Tortilleria Leamington,131 Talbot St W Leamington ON N8H 1N2,Food Take Out,28-Aug-2020
Unique Gallery By Gabriella,4-1614 Lesperance Rd Tecumseh ON N8N 1Y3,Food Take Out,
Unique Kitchen,2155 University Ave W Windsor ON N9B 1E3,Food Take Out,23-Sep-2020
University of Windsor - Fieldhouse Concession Stand,2555 College Ave Windsor ON N9B 3P4,Food Take Out,10-Apr-2019
University of Windsor - Stadium Concessions,2555 College Ave Windsor ON N9B 3P4,Food Take Out,10-Apr-2019
University of Windsor - The Bru Starbucks: Health,401 Sunset Ave Windsor ON N9B 3A8,Food Take Out,25-Feb-2020
University of Windsor - The Market Place Cafe (Tim Horton's),401 Sunset Ave Windsor ON N9B 3A8,Food Take Out,12-Nov-2019
Vesta Catering,3145 Forest Glade Dr Windsor ON N8R 1W6,Food Take Out,02-Sep-2020
Wahmburg,401 Sunset Ave Windsor ON N9B 3P4,Food Take Out,02-Nov-2020
Walkerville Chill,1-1580 Wyandotte Street East Windsor ON N9A 3L2,Food Take Out,18-Sep-2019
Walkerville Station,1809 Tecumseh Rd E Windsor ON N8W 1C8,Food Take Out,27-Jul-2020
WFCU Centre - Armando's Xaco Taco,8787 McHugh St Windsor ON N8S 0A1,Food Take Out,19-Nov-2019
WFCU Centre - Bistro,8787 McHugh St Windsor ON N8S 0A1,Food Take Out,28-Mar-2019
WFCU Centre - Concession #104,8787 McHugh St Windsor ON N8S 0A1,Food Take Out,19-Nov-2019
WFCU Centre - Concession #107,8787 McHugh St Windsor ON N8S 0A1,Food Take Out,14-Nov-2019
WFCU Centre - Concession #110,8787 McHugh St Windsor ON N8S 0A1,Food Take Out,19-Nov-2019
WFCU Centre - Concession #115,8787 McHugh St Windsor ON N8S 0A1,Food Take Out,19-Nov-2019
WFCU Centre - Concessions Group Canada,8787 McHugh St Windsor ON N8S 0A1,Food Take Out,04-Dec-2019
What's Poppin' Popcorn Factory,Rear Unit-1395 Tecumseh Road East Windsor ON N9A 1B9,Food Take Out,
Windsor Kabab House,572 Mill St Windsor ON N9C 2R8,Food Take Out,09-Dec-2020
Windsor Pizza,2595 Jefferson Blvd Windsor ON N8T 2W5,Food Take Out,23-Oct-2019
Windsor Ravioli,9 Amy Croft Dr Tecumseh ON N9K 1C7,Food Take Out,15-Jan-2020
