Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Brighton Township,LAURA'S KITCHEN,,08-Sep-2020,32 DEERFIELD ROAD BRIGHTON ON K0K 1H0
Carden Township,LAYZEE ACRES CAMPGROUND,,,198 MCNABB RD SEBRIGHT ON L0K 1W0
Cobourg,LECLERC'S BUTCHER SHOP,,,365 WESTWOOD DR COBOURG ON K9A 4M5
Cobourg,LEGION VILLAGE,,14-Aug-2020,111 HIBERNIA ST COBOURG ON K9A 4Y7
Lindsay,LESLIE FROST PUBLIC SCHOOL,,,51 ANGELINE ST S LINDSAY ON K9V 3L1
Brighton,LID-STEER BEEF,,02-Jun-2020,1164 COUNTY RD 41 BRIGHTON ON K0K 1H0
Lindsay,LINDSAY COLLEGIATE & VOCATIONAL INSTITUTE,,,260 KENT ST W LINDSAY ON K9V 2Z4
Lindsay,LINDSAY COLLEGIATE & VOCATIONAL INSTITUTE,,,260 KENT ST W LINDSAY ON K9V 2Z4
Lindsay,LINDSAY COLLEGIATE & VOCATIONAL INSTITUTE,,,260 KENT ST W LINDSAY ON K9V 2Z5
Lindsay,LINDSAY CURLING CLUB,,,18 PEEL ST LINDSAY ON K9V 3L8
Ops Township,LINDSAY ESSO ON THE RUN,,,2934 HWY 35 S LINDSAY ON K9V 4R4
Lindsay,LINDSAY EXHIBITION,,,354 ANGELINE ST S LINDSAY ON K9V 4W9
Ops Township,LINDSAY GOLF & COUNTRY CLUB,,,282 LINDSAY ST S LINDSAY ON K9V 4R2
Lindsay,LINDSAY GOLF SIMULATORS COM,,,63 KENT ST LINDSAY ON K9V 1N1
Lindsay,LINDSAY LODGE 659,,,34 LINDSAY ST S LINDSAY ON ON K9V 4R8
Lindsay,LINDSAY MONTESSORI PRESCHOOL,,,51 EGLINGTON AVE LINDSAY ON K9V 3Z5
Lindsay,LINDSAY RECREATIONAL COMPLEX,,,133 ADELAIDE ST S LINDSAY ON K9V 3H7
Ops Township,LINDSAY RUGBY CLUB,,,67 VINCE JONES RD LINDSAY ON K9V 1H0
Ops Township,LINDSAY TWIN DRIVE-IN,,,229 PIGEON LAKE RD LINDSAY ON K9V 4R6
Lindsay,LINDSAY'S AROMA,,10-Sep-2020,32 QUEEN ST LINDSAY ON K9V 1G2
Wilberforce,LINKERT COUNTRY BAKERY,,,2804 LOOP RD WILBERFORCE ON K0L 3C0
Norland,"LINKS AT MONCKS'S LANDING GOLF CLUB, THE",,,155 HILTON'S POINT RD NORLAND ON K0M 2L0
Sherborne Township,LION'S CAMP DORSET,,06-Aug-2020,1087 CAMP DORSET RD DORSET ON P0A 1E0
Minden,LIONS CLUB,,,166 BOBCAYGEON RD MINDEN ON K0M 2K0
Cobourg,LION'S COMMUNITY CENTRE,,,157 ELGIN ST E COBOURG ON K9A 4K5
Bewdley,LISA'S CATERING,,29-Oct-2020,5103 RICE LAKE DR N BEWDLEY ON K0L 1E0
Little Britain,LITTLE BRITAIN COMMUNITY CENTRE,,,9 ARENA RD LITTLE BRITAIN ON K0M 2C0
Little Britain,LITTLE BRITAIN COMMUNITY CENTRE,,,9 ARENA RD LITTLE BRITAIN ON K0M 2C0
Mariposa Township,LITTLE BRITAIN/MARIPOSA COMMUNITY FOOD BANK,,,REAR-932 HWY 7 OAKWOOD ON K0M 2M0
Brighton,LITTLE CAESARS,,,13A ELIZABETH ST BRIGHTON ON K0K 1H0
Cobourg,LITTLE CAESARS,,07-Jan-2021,BA-500 DIVISION ST COBOURG ON K9A 3S4
Port Hope Municipality,LITTLE CAESARS,,,135 TORONTO RD PORT HOPE ON L1A 3S6
Lindsay,LITTLE CAESARS,,15-Jan-2021,370 KENT ST W LINDSAY ON K9V 2Z7
Dunsford,"LITTLE GREEN SHOP, THE",,,15 FERN AVE DUNSFORD ON K0M 1L0
Lindsay,"LITTLE SCHNITZEL HOUSE, THE",,,63 ALBERT ST S LINDSAY ON K9V 3H2
Dysart Township,"LITTLE TART, THE",,10-Sep-2020,1035 KOSHLONG LAKE RD HALIBURTON ON K0M 1S0
Monmouth,LLAMA BEAN,,,18639 HWY 118 TORY HILL ON K0L 2Y0
Wilberforce,LLOYD WATSON MEMORIAL COMMUNITY CENTRE,,,2249 LOOP RD WILBERFORCE ON K0L 3C0
Roseneath,LLOYD'S GENERAL STORE,,05-Nov-2020,8833 CTY RD 45 ROSENEATH ON K0K 2X0
Lindsay,LOBLAWS,,31-Mar-2020,400 KENT ST W LINDSAY ON K9V 2Z7
Port Hope Municipality,LOCAL NO 90,,,90 MILL ST N PORT HOPE ON L1A 2T3
Port Hope Municipality,LOCAL NO 90,,12-May-2020,90 MILL ST N PORT HOPE ON L1A 2T3
Snowdon,LOCHLIN COMMUNITY CENTRE,,15-Jul-2020,4713 GELERT RD LOCHLIN ON K0M 2G0
Snowdon,LOCHLIN UNITED CHURCH,,,1050 LOCHLIN RD LOCHLIN ON K0M 2G0
Fenelon Falls Village,"LOCKER AT THE FALLS, THE",,21-Oct-2020,9 LINDSAY ST FENELON FALLS ON
Somerville Township,LOG CHATEAU PARK,,,1691 County Rd 121 Fenelon Falls On K0M 1N0
Brighton,LOLA'S COFFEE HOUSE,,29-Apr-2020,74 MAIN ST BRIGHTON ON K0K 1H0
Bobcaygeon Village,LONESOME PINE TRAILER PARK,,,2346 PIGEON LAKE RD BOBCAYGEON ON K0M 1A0
Woodville,LORNEVILLE STORE,,,1277 CTY RD 46 WOODVILLE ON K0M 2T0
Little Britain,LOSANA INT,,,416 ELDON RD LITTLE BRITAIN ON K0M 2C0
Castleton,LOU'S CHIP SHACK,,,2139 SPRING ST CASTLETON ON K0K 1M0
Cobourg,LOYAL ORANGE LODGE 127 COBOURG,,,397 ONTARIO ST COBOURG ON K9A 3B9
Glamorgan,LUCIA'S PIZZERIA,,03-Jul-2020,1010 BILLINGS LAKE RD GOODERHAM ON K0M 1R0
Gooderham,LUCKY DOLLAR STORE,,08-Apr-2020,1025 MILL ST GOODERHAM ON K0M 1R0
Ops Township,LUCKY SEVEN RESTAURANT,,22-Dec-2020,"1535 Hwy 7, Oakwood ON"
Bobcaygeon Village,LUIGI'S PIZZA,,,32 KING ST BOBCAYGEON ON K0M 1A0
Woodville,"LUNCHBOX, THE",,14-Aug-2020,1401 GLENARM RD WOODVILLE ON
Cobourg,M & M FOOD MARKET,,,975 ELGIN ST W COBOURG ON K9A 5J3
Lindsay,M & M MEAT SHOPS,,,370 KENT ST W LINDSAY ON K9V 6G8
Campbellford,M & M MEAT SHOPS,,28-Apr-2020,25 DOXSEE ST S CAMPBELLFORD ON K0L 1L0
Port Hope Municipality,M & M MEAT SHOPS,,,A-121 TORONTO RD PORT HOPE ON L1A 3S6
Lindsay,MAC'S,,10-Mar-2020,75 WILLIAM ST N LINDSAY ON K9V 4A3
Brighton,MAC'S,,,13 ELIZABETH ST BRIGHTON ON K0K 1H0
Cobourg,MAC'S,,,122 KING ST W COBOURG ON K9A 1A1
Emily,MAC'S - SUBWAY - TAKE OUT,,,10 KING ST OMEMEE ON K0L 2W0
Brighton,MAIN ST VARIETY,,,77 MAIN ST BRIGHTON ON K0K 1H0
Campbellford,MAIN STREET BURGER AND POUTINE,,02-Oct-2020,513 Grand Road Campbellford ON K0L 1L0
Manilla,MANILLA GENERAL STORE,,,17081 SIMCOE ST MANILLA ON K0M 2J0
Bethany,MANVERS COMMUNITY CENTRE,,,697 Hwy 7A Bethany ON L0A 1A0
Bethany,MANVERS COMMUNITY CENTRE,,,697 Hwy 7A Bethany ON L0A 1A0
Bethany,MANVERS COMMUNITY CENTRE,,,697 HWY 7A BETHANY ON L0A 1A0
Dysart Township,MAPLE AVENUE TAP AND GRILL,,28-Oct-2020,120 MAPLE ST HALIBURTON ON K0M 1S0
Stanhope Township,MAPLE LAKE UNITED CHURCH,,,10961 HWY 118 HALIBURTON ON K0M 1S0
Port Hope Municipality,MAPLE LEAF SMOKE LAND VARIETY INC,,,123 PETER ST PORT HOPE ON L1A 1C5
Laxton,MAPLE WOOD SMOKED EATS,,10-Mar-2020,8021 HWY 35 NORLAND ON K0M 2L0
Brighton,MAPLEWOOD,,,12 MAPLEWOOD AVE BRIGHTON ON K0K 1H0
Brighton,MAPLEWOOD NURSING HOME,,03-Dec-2020,14 MAPLEWOOD DR BRIGHTON ON K0K 1H0
Port Hope Municipality,MARCHE 59,,,1193 4TH LINE PORT HOPE ON L1A 3V7
Stanhope Township,MARION'S CHIP SHOP,,,17518 HWY 35 ALGONQUIN HIGHLANDS ON K0M 1J2
Oakwood,MARIPOSA COMMUNITY KITCHEN,,,755 ELDON RD OAKWOOD ON K0M 2M0
Oakwood,MARIPOSA ELEMENTARY SCHOOL,,,755 ELDON RD OAKWOOD ON K0M 2M0
Mariposa Township,MARIPOSA WOOLEN MILL & FARM MARKET,,16-Sep-2020,1275 HWY 7 OAKWOOD ON K0M 2M2
Cobourg,"MARKET & SMOR, THE",,14-Oct-2020,39 KING ST E COBOURG ON
Minden,MARK'S RESTAURANT,,27-Nov-2020,12626 HWY 35 MINDEN ON K0M 2K0
Port Hope Municipality,MARR-VELOUS SMOKED FISH,,,16 WARD ST PORT HOPE ON L1A 1L5
Lindsay,MARY BROWN'S FRIED CHICKEN,,08-Jan-2021,1-17 RUSSELL ST W LINDSAY ON K9V 2W5
Campbellford,MASTER SUBMARINE,,,47 BRIDGE ST E CAMPBELLFORD ON K0L 1L0
Cobourg,MATTERHORN RESTAURANT,,,95 KING ST COBOURG ON K9A 2M6
Haliburton Village,MAXIM JUG CITY,,,120 MAPLE AVE HALIBURTON ON K0M 1S0
Brighton,MCDONALD'S - BRIGHTON,,02-Sep-2020,15355 TELEPHONE RD BRIGHTON ON K0K 1H0
Cobourg,MCDONALD'S - COBOURG,,,805 WILLIAM ST COBOURG ON K9A 3A8
Cobourg,MCDONALD'S - COBOURG W,,16-Jun-2020,75 STRATHY RD COBOURG ON K9A 5W8
Lindsay,MCDONALD'S - LINDSAY SW,,11-Dec-2020,333 KENT ST W LINDSAY ON K9V 2Z7
Port Hope Municipality,MCDONALD'S - PORT HOPE W,,11-Jun-2020,175 ROSE GLEN RD PORT HOPE ON L1A 3V6
Dysart Township,MCFADDEN'S MEAT MARKET,,19-Aug-2020,23 HOPS DR HALIBURTON ON K0M 1S0
Hastings Village,MCGILLICAFEY'S PUB & EATERY,,27-Feb-2020,13 BRIDGE ST N HASTINGS ON K0L 1Y0
Dysart Township,MCKECK'S TAP AND GRILL,,20-Nov-2020,207 HIGHLAND ST HALIBURTON ON K0M 1S0
Manvers Township,ME TO WE LEADERSHIP CENTRE,,,727 BETHANY HILLS RD BETHANY ON L0A 1A0
Carden Township,MEADOW'S END TRAILER PARK,,,153 DAY DR ORILLIA ON L3V 6H5
Lindsay,MEALS ON WHEELS,,,34 CAMBRIDGE ST LINDSAY ON K9V 3B8
Brighton,MEALS ON WHEELS,,29-May-2020,46 PRINCE EDWARD ST BRIGHTON ON K0K 1H0
Bobcaygeon Village,MEALS ON WHEELS - BOBCAYGEON,,28-Feb-2020,100 HEAD ST BOBCAYGEON ON K0M 1A0
Fenelon Falls Village,MEALS ON WHEELS - FENELON FALLS,,23-Oct-2020,70 MURR AY ST FENELON FALLS ON K0M 1N0
Campbellford,MEALS ON WHEELS CAMPBELLFORD,,,85 FRONT ST CAMPBELLFORD ON K0K 1L0
Cramahe Township,MEALS ON WHEELS COLBORNE,,,1 CHURCH ST COLBORNE ON K0K 1S0
Guilford Township,MEDEBA ADVENTURE LEARNING CENTRE,,28-Jul-2020,1270 KENNISIS LAKE RD WEST GUILFORD ON K0M 2S0
Cobourg,MEET AT 66 KING,,02-Mar-2020,66 KING ST E COBOURG ON K9A 1K9
Dysart Township,MEGA MUNCH,,25-Aug-2020,13533 ON-118 HALIBURTON ON K0M 1S0
Port Hope Municipality,MERCURY CHOCOLATE,,10-Jun-2020,24 JOHN ST PORT HOPE ON L1A 2Z2
Cobourg,MERWIN GREER PUBLIC SCHOOL,,,457 KING ST E COBOURG ON K9A 1M7
Cobourg,MERWIN GREER YMCA AFTER CARE,,,457 KING ST E COBOURG ON K9A 1M7
Cobourg,MESS,,,764 DIVISION ST COBOURG ON
Cobourg,METRO COBOURG,,10-Mar-2020,1111 ELGIN ST W COBOURG ON K9A 4X5
Campbellford,MEYERSBURG FLEA MARKET,,,5082 CTY RD 30 CAMPBELLFORD ON K0L 1L0
Lindsay,MICKAEL'S CAFE LIBRAIRIE,,12-Mar-2020,2-230 KENT ST W LINDSAY ON K9V 2Z2
Lindsay,MILK & HONEY EATERY,,11-Feb-2021,17 WILLIAM ST. S LINDSAY ON K9V 3A3
Minden,"MILL POND, THE",,10-Dec-2020,15526 HWY 35 MINDEN ON K0M 2K0
Cobourg,"MILL RESTAURANT, THE",,15-Sep-2020,990 ONTARIO ST COBOURG ON K9A 4L1
Ops Township,MILL STREAM BIBLE CAMP,,,880 OLD MILL RD OMEMEE ON K0L 2W0
Mariposa Township,MILLER MEMORIAL CATERING,,,88 ALGONQUIN RD LITTLE BRITAIN ON K0M 2C0
Cobourg,MILLSTONE BREAD,,,53-55 ALBERT ST COBOURG ON K9A 2P8
Minden,MINDEN 50S DINER,,11-Aug-2020,103-12311 HWY 35 MINDEN ON K0M 2K0
Minden,MINDEN AGRICULTURAL SOCIETY/MINDEN KIN CLUB,,,2048 FLEMING RD MINDEN ON K0M 2K0
Minden,MINDEN CURLING CLUB,,,50 PRENTICE ST MINDEN ON K0M 2K0
Minden,MINDEN FOOD BANK,,05-Mar-2020,24 NEWCASTLE ST MINDEN ON K0M 2K0
Minden,MINDEN FRESH FRUIT AND VEGETABLE MARKET,,,47 BOBCAYGEON RD MINDEN ON K0M 2K0
Minden,"MINDEN RIVER CONE, THE",,24-Jun-2020,119 BOBCAYGEON RD MINDEN ON K0M 2K0
Lutterworth,MINERS BAY LODGE,,,9718 HWY 35 NORLAND ON K0M 2L0
Lutterworth,MINERS BAY LODGE,,,9718 HWY 35 NORLAND ON K0M 2L0
Campbellford,MING STAR RESTAURANT,,,23 FRONT ST N CAMPBELLFORD ON K0L 1L0
Baltimore,MISTER CONVENIENCE - BALTIMORE,,02-Mar-2020,4765 COUNTY RD. 45 BALTIMORE ON K0K 1C0
Campbellford,MISTER CONVENIENCE - CAMPBELLFORD,,,260 FRONT ST N CAMPBELLFORD ON K0L 1L0
Colborne,MISTER CONVENIENCE - COLBORNE,,,16 TORONTO RD COLBORNE ON K0K 1S0
Lindsay,MISTER CONVENIENCE - LINDSAY CN,,,81 ADELAIDE ST N LINDSAY ON K9V 4L2
Brighton,MISTER CONVENIENCE-BRIGHTON,,,64 ELIZABETH ST P.O. BOX 1613 BRIGHTON ON K0K 1H0
Alderville First Nations,Mobile McGillicafey's - Street Eats and Catering,,22-Jun-2020,27 Front St. Hastings ON
Minden,MOLLY'S BISTRO BAKERY,,20-Feb-2020,170 BOBCAYGEON RD MINDEN ON K0M 2K0
Sherborne Township,MOORELANDS KAWAGAMA CAMP,,06-Aug-2020,"11285 KAWAGAMA LAKE RD DORSET ON , M2J 4R3 ON P0A 1E0"
Dorset,MOOSKOKA DIPS,,,1060 ASBURY LN DORSET ON P0A 1E0
Sherborne Township,MOUNTAIN TROUT HOUSE MARINA,,,1508 RUSSELL LANDING RD DORSET ON P0A 1E0
Cobourg,MR SUB - BURNHAM ST,,,8-1060 BURNHAM ST COBOURG ON K9A 5V9
Cobourg,MR SUB - KING ST,,,110 KING ST W COBOURG ON K9A 2M3
Omemee Village,"MR. CONVENIENCE, COFFEE TIME, and M & M HARDWARE",,,13 KING ST OMEMEE ON K0L 2W0
Lindsay,MR. SUB,,27-Jan-2021,38 KENT ST W LINDSAY ON K9V 2Y2
Brighton,MRS B'S COUNTRY CANDY,,,9-8 LOYALIST DR BRIGHTON ON K0K 1H0
Coboconk,M'S BAKE SHOP - COBOCONK,,10-Mar-2020,6670 HWY 35 COBOCONK ON K0M 1K0
Cobourg,MUCHO BURRITO,,27-Apr-2020,E101-66 STRATHY RD COBOURG ON K9A 5X4
Dunsford,MUM'S MINI MART,,,1972 STURGEON RD DUNSFORD ON K0M 1L0
Campbellford,MUNCHEEZE CHIP TRUCK,,16-Apr-2020,69 TANNER INDUSTRIAL PARK CAMPBELLFORD ON K0L 1L0
Ops Township,MUNCHY HUT,,,308 COLBORNE ST E LINDSAY ON K9V 6K4
Fenelon Falls Village,MURPHY'S LOCKSIDE,,14-Oct-2020,3 MAY ST FENELON FALLS ON K0M 1N0
Roseneath,MUSKIE BAY RESORT INC.,,02-Sep-2020,249 ROBINS RD ROSENEATH ON K0K 2X0
Lindsay,MUSTER POINT,,30-Nov-2020,24 ROSEMARY DR LINDSAY ON K9V 4P8
Little Britain,NATURAL BORN SMOKERS,,,1013 LITTLE BRITAIN RD LITTLE BRITAIN ON K0M 2C0
Warkworth,"NATURAL, THE",,21-Oct-2020,18 MAIN ST WARKWORTH ON K0K 3K0
Bolsover,NATURIPE FOOD MARKET,,,239 PORTAGE RD BOLSOVER ON K0M 1B0
Lindsay,NEABORS FAMILY RESTAURANT,,07-Dec-2020,401 KENT ST W LINDSAY ON K9V 4Z1
Lindsay,NESBITT'S MEAT MARKET,,11-Feb-2021,18 CAMBRIDGE ST S LINDSAY ON K9V 3B6
Cobourg,NESSIE'S BRITISH FARE,,20-Oct-2020,18 KING ST E COBOURG ON K9A 1K7
Verulam,NESTLE IN TRAILER PARK,,,2152 CTY RD 36 S DUNSFORD ON K0M 1L0
Port Hope Municipality,NEW YORK FRIES,,16-Jun-2020,3-2211 COUNTY RD 28 PORT HOPE ON L1A 3W4
Campbellford,NO FRILLS,,10-Jun-2020,15 CANROBERT ST S CAMPBELLFORD ON K0L 1L0
Brighton,NO FRILLS GROCERY,,,155 ELIZABETH ST BRIGHTON ON K0K 1H0
Harcourt Township,NOMI RESORT & WELLNESS,,22-Jun-2020,4727 ELEPHANT LAKE RD HARCOURT ON K0L 1X0
Port Hope Municipality,NOOKIES SOUL KITCHEN AND BAR,,13-Aug-2020,20 ONTARIO ST PORT HOPE ON L1A 2T7
Laxton,NORLAND CONVENIENCE STORE,,,3465 MONCK RD NORLAND ON K0M 2L0
Laxton,NORLAND FOOD MARKET,,,7489 HWY 35 NORLAND ON K0M 2L0
Laxton,NORLAND GENERAL STORE,,15-Apr-2020,7561 HWY 35 NORLAND ON K0M 2L0
Minden,NORM'S SMOKE HOUSE,,,3055 GELERT RD MINDEN ON K0M 2K0
Campbellcroft,NORTH HOME YMCA BEFORE AND AFTER CARE,,,3278 GANARASKA RD CAMPBELLCROFT ON L0A 1B0
Garden Hill,NORTH HOPE CENTRAL PUBLIC SCHOOL,,,3278 GANARASKA RD CAMPBELLCROFT ON L0A 1B0
Cobourg,NORTH SHORE LANES,,,1111 ELGIN ST W COBOURG ON K9A 5H7
Minden,NORTHERN SIZZLER BBQ,,15-May-2020,1010 SOUTH LAKE RD MINDEN ON K0M 2K0
Port Hope Municipality,NORTHUMBERLAND FARE SHARE,,,34 SOUTH ST PORT HOPE ON L1A 3V6
Cobourg,NORTHUMBERLAND CIS,,,780 D'ARCY ST COBOURG ON
Cobourg,NORTHUMBERLAND HEIGHTS,,05-Aug-2020,795 NORTHUMBERLAND HEIGHTS RD COBOURG ON K9A 4J8
Castleton,NORTHUMBERLAND HILLS BEFORE AND AFTER CARE CHILD CARE CENTRE,,,2246 SPRING ST CASTLETON ON K0K 1M0
Cobourg,NORTHUMBERLAND HILLS HOSPITAL,,11-Mar-2020,1000 PALMA DR COBOURG ON K9A 5W6
Castleton,NORTHUMBERLAND HILLS PUBLIC SCHOOL,,,2246 SPRING ST CASTLETON ON K0K 1M0
Cobourg,NORTHUMBERLAND VALLEY GOLF CLUB,,,4423 CTY RD 45 COBOURG ON K9A 4J9
Cobourg,NOTRE DAME ELEMENTARY SCHOOL,,,760 BURNHAM ST COBOURG ON K9A 2X5
Dorset,OAKVIEW LODGE,,,"DORSET, DORSET ON P0A 1E0"
Stanhope Township,OAKVIEW LODGE & MARINA,,30-Jun-2020,2029 LITTLE HAWK LAKE RD ALGONQUIN HIGHLANDS ON K0M 1J2
Oakwood,OAKWOOD ARENA,,,1010 ELDON RD OAKWOOD ON K0M 2M0
Oakwood,OAKWOOD ARENA,,,1010 ELDON RD OAKWOOD ON K0M 2M0
Mariposa Township,OAKWOOD CURLING CLUB,,,960 ELDON RD OAKWOOD ON K0M 2M0
Oakwood,OAKWOOD GENERAL STORE,,,973 ELDON RD OAKWOOD ON K0M 2M0
Cobourg,OASIS BAR & GRILL,,16-Dec-2020,31 KING ST E COBOURG ON K9A 1K6
Lindsay,OK RESTAURANT,,06-Jan-2021,23 WILLIAM ST N LINDSAY ON K9V 3Z9
Sherborne Township,OLD MILL MARINA,,,1352 RUSSELL LANDING RD DORSET ON P0A 1E0
Ops Township,OLD MILL STEAKHOUSE,,,1754 HWY 7 LINDSAY ON K9V 4R2
Ops Township,OLIVERS NEST GOLF AND COUNTRY CLUB,,03-Jun-2020,1075 HWY 7 OAKWOOD ON K9V 4R8
Lindsay,OLYMPIA RESTAURANT,,19-Aug-2020,106 KENT ST W LINDSAY ON K9V 2Y4
Port Hope Municipality,OLYMPUS BURGER,,11-Mar-2020,55 MILL ST S PORT HOPE ON L1A 2S7
Omemee Village,OMEMEE CHILDREN'S CENTRE,,12-Mar-2020,17 JAMES ST OMEMEE ON K0L 2W0
Omemee Village,OMEMEE CURLING CLUB,,,15 JAMES ST OMEMEE ON K0L 2W0
Omemee Village,OMEMEE FOOD BANK,,15-Jun-2020,62 KING ST OMEMEE ON K0L 2W0
Omemee Village,OMEMEE-EMILY COMMUNITY CENTRE,,,212 STURGEON RD OMEMEE ON K0L 2W0
Omemee Village,OMEMEE-EMILY COMMUNITY CENTRE,,,212 STURGEON RD OMEMEE ON K0L 2W0
Port Hope Municipality,ON ROUTE - BURGER KING,,08-Oct-2020,845 HWY 401 E PORT HOPE ON L1A 3W3
Port Hope Municipality,ON ROUTE - EXTREME PITA,,08-Oct-2020,845 HWY 401 E PORT HOPE ON L1A 3W3
Port Hope Municipality,ON ROUTE - STAR BUCKS,,08-Oct-2020,845 HWY 401 E PORT HOPE ON L1A 3W3
Port Hope Municipality,ON ROUTE - THE MARKET,,08-Oct-2020,845 HWY 401 E PORT HOPE ON L1A 3W3
Fenelon Falls Village,ON THE LOCKS,,29-Jun-2020,26 COLBORNE ST FENELON FALLS ON K0M 1N0
Minden,ON THE SPOT VARIETY,,,118 BOBCAYGEON RD MINDEN ON K0M 2K0
Ops Township,ONLY ONE,,,2318 HWY 35 S LINDSAY ON K9V 4R4
Lutterworth,ONONDAGA CAMP,,,1120 RACKETY TRL MINDEN ON K0M 2K0
Minden,ONTARIO EARLY YEARS (SUMMER FUN CAMP),,,16 PRENTICE ST MINDEN ON K0M 2K0
Lindsay,ONTARIO EARLY YEARS CENTRE,,,106-55 MARY ST W LINDSAY ON K9V 5Z6
Lindsay,OPEN GROCERY & VARIETY,,,106 QUEEN ST LINDSAY ON K9V 1G7
Ops Township,OPS COMMUNITY CENTRE,,,2569 HWY 7 LINDSAY ON K9V 4R5
Fenelon Falls Village,ORCHID THAI BISTRO,,15-Oct-2020,12 MAY ST FENELON FALLS ON K0M 1N0
Minden,ORGANIC TIMES,,17-Apr-2020,124 BOBCAYGEON RD MINDEN ON K0M 2K0
Minden,OUR LADY OF FATIMA,,25-Jun-2020,7 BOBCAYGEON RD MINDEN ON K0M 2K0
Warkworth,OUR LUCKY STARS,,18-Jun-2020,16 MAIN ST WARKWORTH ON K0K 2M0
Brighton,OUT OF THE BOX - CHIP TRUCK,,14-May-2020,253 MAIN ST BRIGHTON ON K0K 1H0
McClintock Township,OXTONGUE LAKE COMMUNITY CENTRE,,,3987 HWY 60 DWIGHT ON P0A 1H0
Port Hope Municipality,P H SUPER CONVENIENCE,,,129 TORONTO RD PORT HOPE ON L1A 3S6
Cobourg,PALISADE GARDENS,,,210 CHAPEL ST COBOURG ON K9A 1J8
Lindsay,PANE VINO,,,54-56 KENT ST W LINDSAY ON K9V 2Y2
Cobourg,PAPA JOHNS,,,3A-503 DIVISION ST COBOURG ON K9A 5G6
Cobourg,PAPA'S PIZZALAND,,27-Apr-2020,541 WIILLIAM ST COBOURG ON K9A 3A4
Port Hope Municipality,PAPA'S PIZZALAND,,26-Mar-2020,113 PETER ST PORT HOPE ON L1A 1C5
Brighton,PARK PLACE,,30-Apr-2020,250 PRESQU'ILE PKWY BRIGHTON ON K0K 1H0
Bexley Township,PARK STORE,,,258 PARKSIDE RD KIRKFIELD ON K0M 2B0
Lindsay,PARKVIEW PUBLIC SCHOOL,,,133 ADELAIDE ST N LINDSAY ON K9V 3M4
McClintock Township,PARKWAY COTTAGE RESORT & TRADING POST,,,4412 HWY 60 DWIGHT ON P0A 1H0
Cobourg,PAT & ROB'S,,,32 KING ST W COBOURG ON K9A 2L9
Laxton,PATSY'S PATIO,,10-Aug-2020,2412 MONCK ROAD KIRKFIELD ON K0M 2B0
Coboconk,PATTIE HOUSE SMOKIN BBQ AND GRILL,,22-Jul-2020,6673 HWY 35 COBOCONK ON K0M 1N0
Cardiff Township,PAUDASH LAKE MARINA - STORE,,,1320 MCGILLIVARY RD BANCROFT ON K0L 1C0
Fenelon Falls Village,PEACE VALLEY DINER,,26-Oct-2020,2 RESPONSE RD FENELON FALLS ON K0M 1N0
Minden,"PEPPER MILL STEAK & PASTA HOUSE, THE",,30-Nov-2020,15141 HWY 35 MINDEN ON K0M 2K0
Brighton,PERCY BOOM HAVEN,,,RR 1 RR 1 CAMPBELLFORD ON K0L 1L0
Warkworth,PERCY CENTENNIAL PUBLIC SCHOOL,,,129 CHURCH ST WARKWORTH ON K0K 3K0
Warkworth,PERCY CENTENNIAL YMCA BEFORE AND AFTER CARE,,,129 CHURCH ST WARKWORTH ON K0K 3K0
Warkworth,PERCY LODGE #161,,,13944-COUNTY RD 29 WARKWORTH ON
Lindsay,PETERBOROUGH AXE CLUB,,,50 MARY ST W LINDSAY ON K9V 2N6
Cobourg,PETRO CANADA - COBOURG C,,,490 WHITE ST COBOURG ON K9A 5N4
Cobourg,PETRO CANADA - COBOURG E,,,1030 DIVISION ST COBOURG ON K9A 5G5
Port Hope Municipality,PETRO CANADA - PORT HOPE E,,,363 ONTARIO ST PORT HOPE ON L1A 2W4
Port Hope Municipality,PHARMASAVE #9745,,,17 BARR ETT ST PORT HOPE ON L1A 2T8
Campbellford,PHOENIX - CAMPBELLFORD SCHOOL (5911),,,37 MARGARET ST CAMPBELLFORD ON K0L 1L0
Campbellford,PHOENIX ULTRAMAR GROCERY,,,68 FRONT ST N CAMPBELLFORD ON K0L 1L0
Lindsay,PIE EYED MONK,,11-Dec-2020,8 CAMBRIDGE ST N LINDSAY ON K9V 4C3
Fenelon Falls Village,PIE SHACK,,06-Nov-2020,6 FRANCIS ST E FENELON FALLS ON K0M 1N0
Emily,PIGEON LAKE TRAILER PARK,,,1418 TRACEY'S HILL RD LINDSAY ON K9V 4R5
Port Hope Municipality,PIGGY'S FRESH CUT FRIES,,,2971 NORTHUMBERLAND COUNTY RD 28 PORT HOPE ON L1A 3V6
Colborne,PIGOUT MEATLESS MUNCHIES,,24-Mar-2020,13170 COUNTY RD 21 COLBORNE ON K0K 1S0
Harcourt Township,PINE GROVE POINT CAMPGROUND,,,4445 ELEPHANT LAKE RD HARCOURT ON K0L 1X0
Harcourt Township,PINE GROVE POINT CAMPGROUND - SNACK SHACK,,,4445 ELEPHANT LAKE RD HARCOURT ON K0L 1X0
Warkworth,PINE RIDGE GOLF AND COUNTRY CLUB,,,4020 CTY RD 30 WARKWORTH ON K0K 3K0
Verulam,PINECREST NURSING HOME,,03-Dec-2020,3418 CTY RD 36 BOBCAYGEON ON K0M 1A0
