Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Hastings Village,BRIDGEWATER COFFEE & PIZZA,,,16 BRIDGE ST N HASTINGS ON K0L 1L0
Brighton,BRIGHTON & DISTRICT CURLING CLUB,,,85 ELIZABETH ST BRIGHTON ON K0K 1H0
Brighton,BRIGHTON CHILDREN'S CENTRE,,16-Sep-2020,24 ELIZABETH ST BRIGHTON ON K0K 1H0
Brighton,BRIGHTON MASONIC TEMPLE,,,153 MAIN ST BRIGHTON ON K0K 1H0
Brighton,BRIGHTON PUBLIC SCHOOL,,04-Mar-2020,24 ELIZABETH ST BRIGHTON ON K0K 1H0
Brighton,BRIGHTON SPEEDWAY,,,775 CTY RD 64 BRIGHTON ON K0K 1H0
Brighton,BRIGHTON SPEEDWAY,,,775 CTY RD 64 BRIGHTON ON K0K 1H0
Cobourg,BROOKSIDE YOUTH CENTRE,,,390 KING ST E COBOURG ON K9A 2N7
Port Hope Municipality,BUALAI'S TASTE OF THAI,,,108 WALTON ST PORT HOPE ON L1A 3V5
Cobourg,BULK BARN - COBOURG,,,1 STRATHY RD COBOURG ON K9A 5J7
Lindsay,BULK BARN - LINDSAY,,28-Jan-2020,370 KENT ST W LINDSAY ON K9V 6G8
Port Hope Municipality,BULK BARN - PORT HOPE,,05-Mar-2020,181 TORONTO RD PORT HOPE ON L1A 3V5
Campbellford,BULK PLUS,,,30 DOXSEE AVE S CAMPBELLFORD ON K0L 1L0
Lindsay,BURGER KING,,08-Jan-2021,401 KENT ST W LINDSAY ON K9V 4Z2
Cobourg,BURGER KING,,24-Aug-2020,1154 DIVISION ST COBOURG ON K9A 5Y5
Colborne,BURGERS TO GO,,,127 KING ST E COLBORNE ON K0K 1S0
Campbellford,BURNBRAE GARDENS,,28-Aug-2020,320 BURNBRAE RD E CAMPBELLFORD ON K0L 1L0
Cobourg,BURNHAM FAMILY FARM MARKET,,14-May-2020,7760 COUNTY RD 2 COBOURG ON K9A 4J7
Cobourg,BURNHAM PUBLIC SCHOOL,,,614 BURNHAM ST COBOURG ON K9A 2X1
Cobourg,BURNHAM YMCA BEFORE AND AFTER CARE,,20-Feb-2020,614 BURNHAM COBOURG ON K9A 2X1
Lindsay,BURNS BULK FOOD,,,118 KENT ST W LINDSAY ON K9V 2Y4
Somerville Township,BURNT RIVER COMMUNITY CENTRE,,,16 SOMERVILLE RD KINMOUNT ON K0M 2A0
Somerville Township,BURNT RIVER OFF-ROAD VEHICLE FACILITY,,,502 LEDGE HILL BURNT RIVER ON K0M 1C0
Ops Township,BURRITO ZONE,,19-Nov-2020,2933 HWY 35 LINDSAY ON K9V 4R4
Bobcaygeon Village,BUSY BEE BAKERY,,,2173 PIGEON LAKE RD BOBCAYGEON ON K0M 1A0
Perrytown,BUTTERCUP'S BAKERY,,23-Oct-2020,7175 COUNTY RD 10 PORT HOPE ON L1A 3V5
Cobourg,"BUTTERMILK CAFE, THE",,03-Mar-2020,44 KING ST W COBOURG ON K9A 2L9
Little Britain,BUTTERTARTS 'N MORE,,,1037 LITTLE BRITAIN RD LITTLE BRITAIN ON K0M 2C0
Ops Township,BUTTERTARTS 'N MORE NORTH,,,1535 HWY 7 OAKWOOD ON K0M 2M0
Fenelon Township,BYRNELL GOLF CLUB,,07-Aug-2020,192 CTY RD 8 FENELON FALLS ON K0M 1N0
Cobourg,C D C I EAST,,,335 KING ST E COBOURG ON K9A 1M2
Cobourg,C R GUMMOW SCHOOL,,,287 GRAVERLY ST COBOURG ON K9A 1H8
Bobcaygeon Village,CAKE BY THE LAKE,,20-Nov-2020,1 MAIN ST BOBCAYGEON ON K0M 1A0
Lindsay,CALVARY PENTECOSTAL CHURCH,,11-Mar-2020,125 VICTORIA AVE N LINDSAY ON K9V 6B6
Camborne,CAMBORNE YMCA BEFORE AND AFTER CARE,,,3546 KENNEDY RD COBOURG ON K9A 4J7
Fenelon Township,CAMERON GENERAL STORE,,,4082 HWY 35 CAMERON ON K0M 1G0
