Facility Name,Site Address,Last Inspection Date
Shelby's Food Express,737 Talbot St St Thomas ON N5P 1E1,
Sixthirtynine,639 Peel St Woodstock ON N4S 1K9,
Solo on Main,187 Main St Port Stanley ON N5L 1H6,
Southside,223 Furnival Rd Rodney ON N0L 2C0,
Sparta House,46342 Sparta Line Sparta ON N0L 2H0,02/19/2020
Springford Variety,3 West St N Springford ON N0J 1X0,09/03/2020
St Thomas Golf & Country Club & Bar,42325 Sparta Line St Thomas ON N5P 4B1,
St Thomas Pizza Inc,860 Talbot St St. Thomas ON N5P 1E2,
St. Thomas Roadhouse,837 Talbot St St Thomas ON N5P 1E4,07/27/2020
Starbucks Coffee Canada Inc,537 Norwich Ave Woodstock ON N4V 1C7,10/09/2020
Stockyard Café,8933 Walker Rd Aylmer ON N5H 2R1,
Streamliners Espresso Bar,767 Talbot St St. Thomas ON N5P 1E3,10/26/2020
Subway,343 Norwich Ave Woodstock ON N4S 3V9,07/23/2020
Subway,174 Culloden Line Ingersoll ON N5C 3R2,
Subway,181 Talbot St St. Thomas ON N5P 1A8,
Subway,976 Dundas St Woodstock ON N4S 1H3,
Subway,3 Vansittart Ave Woodstock ON N4S 6E1,
Subway,5-965 Talbot St St Thomas ON N5P 1E8,
Subway,51 Simcoe St Tillsonburg ON N4G 3T5,
Subway,5-385 Springbank Ave N Woodstock ON N4T 1R3,
Subway,188 Sunset Dr St Thomas ON N5R 3B9,
Subway,676 Broadway St Tillsonburg ON N4G 4H1,12/22/2020
Subway,401223 Hwy 401 Ingersoll ON N5C 3K1,
Subway,120 Thames St N Ingersoll ON N5C 4B1,
Subway,209 Graham St West Lorne ON N0L 2P0,
Subway,5 Woodstock St N Tavistock ON N0B 2R0,
Subway,401225 Highway 401 E Woodstock ON N4S 7V6,
Subway,345 Talbot St W Aylmer ON N5H 1K3,
Sunset Grill,8-1055 Talbot St St. Thomas ON N5P 1G4,
Sunset Grill,6-547 Norwich Ave Woodstock ON N4V 1C7,11/24/2020
Sunset Restaurant & Bar,184 Sunset Dr St. Thomas ON N5R 3B9,
Sunshine Restaurant,8237 Plank Rd Straffordville ON N0J 1Y0,12/16/2020
Super Wok,3-287 Talbot St W Aylmer ON N5H 1J9,
Sushi Cove Restaurant,5-930 Dundas St Unit #5 Woodstock ON N4S 1H3,
