Inspection Result,Facility Name,Site Address,Last Inspection Date
,Atami Sushi,2200 Rymal Rd E GLANBROOK ON L0R 1P0 Canada,15-Dec-20
,Atlantic Submarine,212 John St S Hamilton ON L8N 2C8 Canada,28-Jul-20
,Atrium Cafe,711 Concession St E Hamilton ON L8V 1C3 Canada,07-Nov-19
,Atrium Cafe (McMaster University),175 Longwood Rd S Hamilton ON L8P 2J3 Canada,01-Nov-19
,"Attic Pizza Parlour, The",89 King St E Stoney Creek ON L8G 1K5 Canada,03-Dec-20
,August 8 Dim Sum & Sushi Buffet,12-1 Wilson St Hamilton ON L8R 1C4 Canada,11-Dec-20
,August 8 Restaurant,835 Paramount Dr Hamilton ON L8J 0B4 Canada,22-Sep-20
,August 8 Restaurant,1066 Upper James St Hamilton ON L9C 3A9 Canada,05-Nov-20
,Augusta's Winking Judge,25 Augusta St Hamilton ON L8N 1P6 Canada,30-Jun-20
,Aunt Jean Creams,36 Parkdale Ave. N Hamilton Ontario L8J 5W8 Canada,06-Nov-20
,Avesta Restaurant,105-1059 UPPER JAMES ST HAMILTON ON L9C 3A6 Canada,29-Oct-20
,Avondale,412 Barton St Stoney Creek ON L8E 2L3 Canada,15-Jan-21
,Avondale,2200 Rymal Rd E Hannon ON L0R 1P0 Canada,18-Apr-19
,Avondale Food Store,49 King St E Dundas ON L9H 1B7 Canada,15-Mar-19
,Avondale Food Store,12 Garner Rd W Ancaster ON L9G 2J8 Canada,17-Dec-20
,Avondale Store - Paramoun,1050 Paramount Dr Stoney Creek ON L8J 1P8 Canada,05-Feb-19
,Avondale Stores,301 Fruitland Rd Stoney Creek ON L8E 5M1 Canada,26-Jan-21
,Avondale Stores Ltd #113,570 Highway No. 8 Stoney Creek ON L0R 1L0 Canada,04-Feb-21
,Avondale Stores Ltd. #101,205 Quigley Rd Hamilton ON L8K 5M8 Canada,22-Jan-21
,Avondale Stores Ltd. #111,184 Highway No. 8 Stoney Creek ON L8G 1C3 Canada,25-Jan-21
,Avondale Stores Ltd. #63,4-399 Greenhill Ave Hamilton ON L8K 6N5 Canada,20-May-20
,Avondale Variety,2327 King St E Hamilton ON L8K 1X6 Canada,06-Aug-20
,Awesome Yummy Treats Inc Plate 127,17 Wilson St E Hamilton ON L9G 2B3 Canada,09-Dec-19
,Azal Restaurant,90 Wellington St. N. Hamilton ON L8R 1N1 Canada,08-Jan-21
,AZUCAR BY ILEANA,80 RILEY ST WATERDOWN ON L8P 0P9 Canada,05-Feb-21
,Azzurri Sports Club,293 Highway No. 8 Stoney Creek ON L8G 1E5 Canada,13-Nov-20
,B & D Holdings Ltd.,438 Highway 8 Hamilton ON L8G 1G3 Canada,10-Jan-20
,B&T Food,103 Queen St. N. Hamilton ON L8R 2V5 Canada,19-Jan-21
,B. Love,29 King St W Dundas ON L9H 1T5 Canada,23-Sep-20
,Baba Link Farm,46 Huisman Lane Flamborough Centre ON L8N 2Z7 Canada,30-Jul-19
,Babe's Jubilee - Food Sto,1582 King St E Hamilton ON L8K 1T2 Canada,03-Feb-20
,Backstreet Bar & Grill,94 Macnab St N Hamilton ON L8R 2L8 Canada,24-Nov-20
,Bad and Boujee,93 John St. S Hamilton ON L8N 2L2 Canada,21-Aug-20
,Bakers Corner,133 Freelton Rd Flamborough Ontario L8B 0Z5 Canada,25-Sep-20
,Balanced Lives Cafe,775 Barton St E Hamilton ON L8L 3A9 Canada,25-Nov-19
,Balzac`s Coffee,675 Tradewind Dr Ancaster ON L9G 4V5 Canada,18-Nov-19
,Bambu,21 John St N Hamilton ON L8R 1H1 Canada,10-Dec-20
,Banana Leaf Asian Cuisine,44 King St E Stoney Creek ON L8G 1K1 Canada,15-Jan-21
,Banda Portuguesa De Hamilton,129 MacNab St N Hamilton ON L8R 2M2 Canada,26-Nov-20
,Bangkok Spoon Deluxe,57 King St W Dundas ON L9H 1T5 Canada,10-Jun-20
,BANH MI HUE,127 MACNAB ST.N HAMILTON,11-Jan-21
,Bar 54,935 Barton St E Hamilton - Downtown (East) ON L8L 3C4 Canada,30-Sep-20
,Bar Burrito,1782 Stone Church Rd E Hamilton ON L8J 0B4 Canada,08-Jan-21
,Bar Burrito,B-1711 Main St W Hamilton ON L8S 1G5 Canada,13-Jan-21
,Bar Burrito,65 Mall Rd Hamilton ON L8V 5B8 Canada,18-Jan-21
,Bar Burrito,1183 Wilson St W Hamilton ON L9G 3K9 Canada,18-Jan-21
,Bar Burrito,630 Upper James Street Hamilton ON L9C 2Z1 Canada,05-Nov-20
,Bar Burrito,1374 SOUTH SERVICE RD STONEY CREEK,15-Jan-21
,Bar Burrito,1275 Barton St E Hamilton ON L8H 2V4 Canada,13-Jan-21
,Bar Burrito,255 Dundas Street East Waterdown ON L8B 0E5 Canada,13-Oct-20
,Bar Michelangelo,246 James St N Hamilton ON L8R 2L3 Canada,
,Bar Sazerac,278 James St N Hamilton ON L8R 2L3 Canada,24-Nov-20
,Baranga's on the Beach,380 Van Wagner's Beach Rd Hamilton ON L8E 3L8 Canada,09-Sep-20
,Barbara Caffe,387 Barton St Stoney Creek ON L8E 2L2 Canada,13-Jan-21
,Barton Touchdown Pub,912 Barton St E Hamilton ON L8L 3C2 Canada,13-Aug-20
,Barton Variety,315 Barton St E Hamilton ON L8L 2X6 Canada,28-Nov-19
,Basilique Fast Food Inc.,1065 King St W. Hamilton ON L8S 1L8 Canada,05-Jan-21
,"Baskets ""N"" Bundles",386 Wilson St E ANCASTER ON L9G 2C2 Canada,14-Nov-19
,Baskin Robbins,1660 Upper James Street Hamilton ON Canada,18-Feb-20
,BASKIN ROBBINS,7-1685 MAIN ST. W HAMILTON ON L8S 1G5 Canada,08-Oct-20
,Baskin Robbins,313C-999 Upper Wentworth St Hamilton Ontario L9A 4X5 Canada,07-Jul-20
,BATL Global Corporation,80 James St. N Hamilton Ontario,17-Apr-19
,Battlefield Rustico Risto,73 King St W Stoney Creek ON L8G 1H9 Canada,11-Jun-20
,Baycoat Ind -South Plant,244 Lanark St Hamilton ON L8E 4B3 Canada,16-Mar-18
,Baywoods Place,330 Main St E Hamilton ON L8N 3T9 Canada,27-Feb-20
,BBQ HOUSE INC,760 CONCESSION ST HAMILTON,
,Beanermunky Chocolate,50 King St W Dundas ON L9H 1T8 Canada,22-Dec-20
,Beanermunky Chocolate,17 Main St S Waterdown,03-Jan-20
,Beasley Community Centre,145 Wilson St Hamilton ON L8R 1E4 Canada,02-Oct-20
,"Beasley House Bistro,The",96 Locke St S Hamilton ON L8P 4A4 Canada,25-Nov-19
,Becker's Convience,119 Herkimer St Hamilton ON L8P 2G8 Canada,09-Jan-20
,Bed Bath & Beyond,"1783 Stone Church Rd. E., Bldg 3 Stoney Creek ON L8J 0B4 Canada",27-Jun-19
,Bedrock Bistro,260 Queenston Rd Hamilton ON L8K 1H1 Canada,18-Jan-21
,Bee'z Smootheez,255 Celtic Dr Stoney Creek ON L8E 2T8 Canada,12-Nov-19
,Beijing Hut,1467 Main St W Hamilton ON L8S 1C9 Canada,21-Oct-20
,Belgal Tuckshop Variety,60 Jerome Crescent Hamilton ON L8E 3G9 Canada,12-Aug-19
,Bella Bella PIzza,2145 King St E Hamilton ON L8K 1W5 Canada,02-Nov-20
,Bella Pizza,455 Barton St E Hamilton ON L8L 2Y7 Canada,21-Jul-20
,Bellmoore Public School,35 Pumpkin Pass Binbrook ON L0R 1C0 Canada,05-Jun-18
,Ben Thanh Viet.Thai Cuisine,113 James St N Hamilton ON L8R 2K6 Canada,21-Jan-21
,Bennetto Community Centre,450 Hughson ST N Hamilton ON L8L 4N5 Canada,
,Bennetto Nutrition Program,47 Simcoe St E. Hamilton ON L8L 3N2 Canada,
,Bennetts Apples & Cider Ltd.,944 Garner Rd E Ancaster ON L9G 3K9 Canada,22-Nov-20
,Bentford Orchards,35 York Blvd. Hamilton ON Canada,20-Feb-20
,Bento Sushi,2190 Rymal Road E GLANBROOK,01-Sep-20
,Bento Sushi,1900 King St E Hamilton ON L8K 1W1 Canada,01-Oct-20
,Bento Sushi,1191 Wilson St W Ancaster ON L9G 0E8 Canada,08-Feb-21
,Bento Sushi,255 Dundas St E Waterdown ON L0R 2H6 Canada,07-Dec-20
,Bento Sushi,977 Golf Links Rd ANCASTER ON L9K 1K1 Canada,31-Jul-20
,Bento Sushi,1370 South Service Road Stoney Creek ON L8E 5C5 Canada,07-Jul-20
,BENTO SUSHI - Walmart,675 UPPER JAMES ST HAMILTON,13-Jan-21
,Bento Sushi-Metro,1161 Barton St E Hamilton ON L8H 2V4 Canada,17-Jul-20
,Berkeley North,31 King William St Hamilton ON L8R 1A1 Canada,02-Dec-20
,Bernie Custis Secondary School,1055 King St E Hamilton ON L8M 1E2 Canada,12-Nov-20
,Bernie Morelli Rec Centre - 2nd Floor Kitchen,876 Cannon St E Hamilton ON L8L 0C6 Canada,21-Oct-20
,Bernie Morelli Rec Centre - Main Floor Kitchen,876 Cannon St E Hamilton ON L8L 0C6 Canada,21-Oct-20
,Bertram Place,21 Hatt St Dundas ON L9H 2E9 Canada,25-Jan-21
,BEST BURGERS,438 HWY 8 . STONEY CREEK Ontario L8G 1G3 Canada,
,Best Buy Variety,665 Fennell Ave E Hamilton ON L8V 1V3 Canada,25-Feb-20
,Best On Bread,35 York Blvd Hamilton Ontario L8R 3K1 Canada,08-Aug-19
,Betula Restaurant,1-225 King St W Dundas Ontario L9H 1V6 Canada,17-Sep-20
,Beverley Hall,793 Old Hwy 8 Flamborough ON L0R 1X0 Canada,20-Mar-19
,Beverly Central,1346 4th Concession Rd W Troy ON L0R 2B0 Canada,28-Mar-19
,Beverly Community Centre - Top Shelf Concession,680 Highway 8 Rockton ON L9H 3B3 Canada,20-Nov-20
,Beverly Community Centre - Rental Kitchen,680 Hamilton Regional Rd 8 Hamilton ON L9H 5E1 Canada,20-Nov-20
,Beverly Golf & Country Club - Halfway House,1211-2nd Concession Road West Copetown ON L0R 1J0 Canada,06-Nov-20
,Beverly Golf & Country Club - Restaurant,1211 2nd Concesson Road West Copetown ON L0R 1J0 Canada,06-Nov-20
,Beyond the Batter,4-1791 Stonechurch Rd E Stoney Creek ON L8J 0B4 Canada,02-Sep-20
,Big Bear Food Mart,580 Fennell Ave E Hamilton ON L8V 1T1 Canada,08-May-20
,Big Bear Food Mart,878 King St. West Hamiton ON L8S 4S6 Canada,04-Feb-21
,Big Bear Food Mart,2579 KING ST E HAMILTON ON L8K 1Y4 Canada,31-Oct-18
